Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
World	38786162	56792378	73960656	67973972	74441745	65735988	59786946	55609530	66702809	65482814	49125030	42355637	Argentina
Brazil	11819237	17948822	22181035	17676647	19161458	14340808	13005591	13597452	17869324	15697797	10159331	8685285	Argentina
China	4822599	7649019	10572982	9900612	11312451	10776371	11749039	10467476	12309505	12078804	9258744	8656340	Argentina
United States of America	5169636	6125400	7810169	8476098	8069314	9107001	7705939	6984637	7535152	7716402	6273636	4414057	Argentina
Paraguay	698956	436801	515026	450632	530822	498619	409413	711340	1086435	2176720	1646757	2217872	Argentina
Germany	1993913	3215186	3645600	3698229	3892128	3532730	3127228	3053219	3228345	3351365	2765873	1987983	Argentina
Bolivia, Plurinational State of	212689	350467	629204	1297331	2844471	2544780	1480893	708709	1246891	1441567	1368970	1030444	Argentina
Italy	849918	1296733	1482386	1452611	1666022	1637508	1370153	1435769	1674555	1559222	1126337	1007191	Argentina
Thailand	411194	640045	695916	861457	945947	816058	813960	1132210	1258956	1328604	1184467	999297	Argentina
Mexico	1163819	1817107	2533167	2250815	2161330	1647287	1822055	1784854	2081261	1877254	1125233	945641	Argentina
India	368033	566904	631153	652782	776689	698543	724327	700220	823660	888569	809031	800997	Argentina
France	811124	1529361	1521188	1591401	1739789	1423431	1450005	1447324	1264704	1110312	885267	781898	Argentina
Viet Nam	76115	111269	190116	155511	199734	196983	329462	350296	621726	636594	658496	754495	Argentina
Japan	909013	1191260	1414644	1498452	1520911	1376055	1223677	953419	1057501	1082404	895214	723680	Argentina
Spain	788041	1024147	1395640	1317203	1371192	1077958	957153	920999	1451562	1430822	977231	705567	Argentina
Chile	664986	885048	1092800	1005805	970456	823529	717239	689451	859432	709895	536586	539469	Argentina
Area Nes	1720922	2339218	4395778	803157	664819	713780	540470	421210	556236	596099	582614	452889	Argentina
United Kingdom	375638	486839	664162	614831	582675	543308	558548	471382	497827	569334	583189	420726	Argentina
Switzerland	401212	485798	544882	552984	511560	533648	688961	517109	579973	580829	404729	420017	Argentina
Uruguay	348260	586782	605838	517395	519414	463837	407421	465513	482681	496221	435863	374791	Argentina
Korea, Republic of	615982	967905	1144584	1137226	1239823	917417	1071392	885606	836177	643244	502291	365477	Argentina
Taipei, Chinese	291104	444583	539095	506916	544399	470571	481129	411390	443516	411632	283921	324510	Argentina
Netherlands	231210	394127	435195	1129725	1074998	781511	452224	429141	490151	532179	446926	322528	Argentina
Canada	254127	408845	626554	510611	489641	556791	462150	345260	660173	386539	334606	293836	Argentina
Ecuador	137406	163413	209751	235956	274020	261125	271781	274849	323189	319188	241577	272375	Argentina
Malaysia	284840	328060	434221	447506	490005	401735	354557	291550	317457	290982	263784	271030	Argentina
Belgium	202194	293988	419067	435397	766959	418707	285593	312474	361918	315825	240525	263566	Argentina
Ireland	110985	173411	191462	228197	230264	243849	205093	192062	226483	248152	226519	253384	Argentina
Morocco	58786	105698	143385	111507	44788	50183	33678	107401	133768	175790	200708	245299	Argentina
Indonesia	178985	316188	372599	343714	380522	300308	314621	275977	345798	345415	292328	232782	Argentina
Egypt	53244	33089	74043	49686	116543	9710	6551	8199	35231	83907	129065	209485	Argentina
Colombia	108786	149976	241563	355247	435395	232729	231428	201010	232968	290947	220593	208953	Argentina
Turkey	93824	176564	249541	298966	381196	245171	186330	173235	211904	274023	227368	196183	Argentina
Hungary	47426	72520	119790	129139	148555	110733	149587	223264	312411	296571	205479	172494	Argentina
Russian Federation	109819	397842	791881	1123997	1720946	1344245	678691	393753	340984	522088	240660	166179	Argentina
Sweden	253807	213941	332556	284194	309060	303157	239206	289029	451750	238996	307054	155364	Argentina
Denmark	140047	140739	177571	149998	161256	164175	171603	168923	187618	303836	209427	152812	Argentina
Poland	65554	123678	149511	173237	222211	196251	182384	146998	261821	250739	225928	143066	Argentina
Australia	183310	325162	409556	281888	206057	159154	268064	159676	278640	364605	247039	142070	Argentina
