Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2281855922	2118980582	2271796142	2494230195	2498569866	2590607686	
"United States of America"	221295020	283780323	325010988	352438221	369063859	397099250	410804880	388145454	431664273	479701581	418584250	452576771	
"Hong Kong, China"	166216920	218301360	267983737	323445330	384497867	363077144	334290810	292214997	280975081	302960301	279616724	272658016	
"Japan"	97910966	121043965	148268708	151626581	150132589	149391340	135896918	129450377	137368622	147235099	143223969	142641690	
"Viet Nam"	16300914	23101556	29091568	34212587	48586298	63730014	66381154	61585175	72117144	84015799	98004333	113813694	
"Korea, Republic of"	53679877	68766311	82920308	87673764	91164951	100333451	101474642	94659513	102834413	109028749	110984862	112504010	
"Germany"	49919564	68047133	76399999	69212732	67342500	72703049	69216821	65768897	71224289	77908711	79706091	86823917	
"Netherlands"	36682225	49704161	59499691	58898785	60314752	64928516	59633422	57746634	67325060	73124185	73945370	79010191	
"United Kingdom"	31277364	38767054	44122055	46296693	50942128	57141135	59667967	56261404	57039880	56987896	62275959	72605125	
"India"	29666560	40913958	50536416	47677452	48432411	54217422	58262004	58920648	67925121	76880637	74924285	66726981	
"Taipei, Chinese"	20505295	29674922	35109073	36777357	40634145	46276868	45055573	40400323	43934720	48656780	55079733	60141641	
"Singapore"	30066363	32347238	35570137	40750209	45831865	48911175	53139141	45802680	45668183	49817841	54963720	57539954	
"Malaysia"	19631939	23802061	27886048	36525700	45930593	46353388	44192327	38542312	41999160	45848412	52481738	56427589	
"Australia"	20645567	27220264	33910013	37734920	37554163	39145950	40378582	37634374	41582543	47547551	48103594	53481792	
"Russian Federation"	17513771	29612074	38903018	44056551	49591172	53676944	34809906	37506059	43149783	48005203	49484540	50584508	
"Thailand"	13307098	19741222	25694604	31196768	32717904	34289228	38310626	37653331	38780758	42974256	45619577	50525507	
"Mexico"	12298991	17872653	23975906	27517963	28966300	32255386	33809860	32447349	35954952	44129450	46377886	44850418	
"Canada"	17675119	22216134	25266590	28125194	29216715	30003679	29426458	27642566	31570057	35532673	36827418	42108891	
"Philippines"	8584708	11540277	14255388	16732210	19868125	23473577	26692700	30113525	32117391	35111186	40758536	41838752	
"Indonesia"	14720624	21953565	29220944	34285244	36930490	39059606	34375284	32375905	34805909	43246345	45685377	41004370	
"France"	21611741	27858709	30245913	27195963	26948466	28975791	27063408	25176549	28029290	31193002	33104056	37337685	
"Brazil"	14118518	24460652	31836677	33413633	35895471	34890134	27428609	22064078	29078324	33731542	35476983	34955975	
"Italy"	20244613	31145158	33694562	25657525	25754655	28759230	27852875	26488828	29234031	33266948	33414562	32944394	
"United Arab Emirates"	18632296	21235461	26812848	29568343	33411295	39034507	37069274	30473260	28842011	29902887	33450538	32307071	
"Saudi Arabia"	8977852	10366445	14849707	18452901	18739814	20575242	21683665	19266738	18320971	17560589	23924462	28098452	
"Spain"	14077808	18178686	19723609	18240174	18931672	21501636	21899151	21546960	23014599	25064193	26825957	27538124	
"Poland"	7561768	9438307	10939549	12386657	12574875	14256799	14346519	15170215	17916691	20944256	23906087	26735783	
"Belgium"	10872790	14302162	18973831	16376700	15560178	17216405	16222593	14847680	15779441	17137810	18242346	20757207	
"Turkey"	8333535	11942037	15613705	15585293	17746991	19305458	18630120	16807503	18143520	17864201	17321763	20356568	
"Nigeria"	5475594	6696844	9205574	9296313	12042613	15393425	13715724	10063893	12215486	13500035	16634074	16776737	
"Pakistan"	5515074	6937792	8439729	9276492	11019596	13244482	16481153	17468609	18309555	16967145	16183489	15366711	
"Chile"	4928470	8024930	10816758	12600992	13105469	13017501	13296051	12876486	14459966	15916332	14687691	15338907	
"South Africa"	7365588	10799862	13362300	15323312	16830776	15699146	15878945	12936213	14894297	16337354	16560933	15243394	
"Bangladesh"	4441067	6789097	7810658	7970093	9705087	11782272	13904754	14473047	15202749	17759540	17335124	15060011	
"Czech Republic"	5023772	7121516	7669407	6323551	6837795	7992899	8227215	8052784	8781492	11912529	12911008	13738477	
"Egypt"	5107359	6040984	7283233	8223921	8362675	10460510	11962663	10597944	9512991	12020880	12217146	13623257	
"Myanmar"	2261243	3475524	4821497	5673756	7338689	9367647	9429575	8254504	9025273	10567874	12331175	12550828	
"Kazakhstan"	7748172	9320401	9566530	11001238	12545124	12709849	8427397	8243298	11632542	11326581	12806979	11707219	
"Israel"	3652651	5037050	6740798	6988137	7645304	7739106	8624495	8260029	8949589	9315784	9516484	11256915	
"Iraq"	1838449	3589867	3824651	4911785	6894088	7743841	7925456	7656280	8348527	7917674	9473787	10923549	
"Colombia"	2396433	3819950	5838843	6228774	6826037	8043334	7588037	6824573	7443100	8740282	9225688	9320562	
"Peru"	2098874	3549668	4653277	5332544	6188838	6100848	6354911	6032569	6981392	8101650	8508588	8865838	
"Panama"	6522357	11967279	14555810	15305692	10992734	9307389	8529293	6403851	6654978	6947567	7948178	8803232	
"Iran, Islamic Republic of"	7918687	11092188	14761999	11598799	14036645	24338486	17831207	16578741	18642027	14008984	9608726	8510124	
"Sweden"	4156381	5708835	6566883	6416053	6799061	7167601	7109201	6319591	7019611	8254438	8515588	8368716	
"Cambodia"	907061	1347342	2314810	2708103	3409507	3274738	3770011	3963645	4795209	6022950	8000644	8057024	
"Denmark"	4225931	5184702	6446596	6540747	5711397	6547832	6155176	5428335	6495779	7298392	6716704	7467536	
"Hungary"	5343601	6518314	6806022	5737960	5692280	5764166	5198115	5422107	6042580	6540410	6439100	7404818	
"Argentina"	3482893	6115764	8502556	7869366	8750430	7679829	8890252	7232640	9067643	8418453	6883198	7087350	
"Greece"	3458065	3958943	3949368	3593168	3218976	4185607	3664447	4249965	4780552	6542161	7740224	7036443	
"Ukraine"	3603782	5563831	7147075	7324649	7849225	5106229	3516420	4235573	5040557	7025517	7379260	6878004	
"Ghana"	1533701	1932872	3109948	4790753	3946028	4134566	5312801	4758050	4863362	4821886	4906969	6756060	
"New Zealand"	2085362	2764512	3736693	3864558	4131684	4737939	4922088	4814379	5099502	5799192	5704621	6055977	
"Algeria"	4180239	3999999	4471882	5416657	6023897	7395178	7600452	7736763	6788723	7923382	6945571	5597417	
"Kenya"	1277439	1786303	2368775	2788762	3217481	4930627	5918049	5668583	5045166	5204944	4984585	5410773	
"Uzbekistan"	1560539	1181024	1359242	1783339	2613355	2678214	2236357	2033302	2763952	3942096	5044571	5145572	
"Romania"	2377288	3004462	3453775	2797186	2822537	3223178	3186742	3462138	3776979	4512111	4562822	5126433	
"Switzerland"	2664658	3038875	3713552	3507411	3529136	3109863	3196153	3231790	3194306	4111622	4543904	5093094	
"Portugal"	1923516	2513318	2801434	2501158	2506864	3137073	2897547	4023223	3464745	3768702	4325492	4191503	
"Tanzania, United Republic of"	914052	1253127	1653632	2089722	3140702	3843566	4286317	3636663	3135641	3590574	3814731	4174643	
"Morocco"	2129258	2484472	3042649	3131193	3271645	2962993	2901954	3126765	3185421	3690128	4030060	4172591	
"Ireland"	1979341	1992057	2166075	2098343	2477167	2801682	2825002	2789797	2908818	3651707	3267313	3996233	
"Sri Lanka"	1569465	1994848	2988724	3001305	3436549	3792797	4308107	4331231	4096695	4266680	4088061	3842837	
"Kuwait"	1542683	1848592	2128415	2089319	2675509	3428725	3775940	3064320	3115497	3321341	3860876	3578475	
"Norway"	2675353	2836321	3785872	3019832	2737115	2731442	2858078	2605251	2475022	2652394	3392973	3534951	
"Slovenia"	770101	1385669	1675371	1566641	1832812	1991942	2092396	2281868	2889919	4435174	3404442	3452439	
"Austria"	1428190	1854333	2226819	2040342	2037527	2396212	2497854	2241478	2517300	2842355	3021832	3406739	
"Liberia"	1881497	4396883	4966687	3446408	2335750	1711333	1357650	1587666	2102921	1941893	3909849	3404577	
"Marshall Islands"	1354779	1946029	2190067	1823395	1422971	1237975	3374161	3975503	3094768	2156333	2384715	3276947	
"Ecuador"	1003564	1495612	2224132	2613996	2966846	3245139	2893705	2269071	2959701	3719935	3632436	3253183	
"Jordan"	1965980	1888900	2512724	2958958	3434555	3364531	3431339	3007548	2811456	2973958	3734207	3181626	
"Oman"	747451	944497	998177	1811576	1900844	2065381	2117933	2174997	2325082	2875748	3020370	3091184	
"Slovakia"	1399015	1958477	2512600	2423050	3084437	2828496	2795050	2861673	2727123	2558825	2893893	3033061	
"Finland"	4525948	5498929	6640366	7440753	5831524	5098980	3552095	2889509	2838389	3086395	3024718	2949884	
"Yemen"	1168419	1223859	1104281	1955099	2138817	2201314	1436297	1710399	1645825	1876595	2821134	2881253	
"Kyrgyzstan"	5227522	4127513	4878289	5073516	5075346	5242520	4284720	5639551	5371401	5546955	6312091	2866119	
"Qatar"	872411	855444	1198757	1205100	1710908	2254011	2279509	1540118	1683515	2488628	2409266	2632585	
"Senegal"	399309	498321	680361	793973	997396	1650233	2194515	2236909	2048210	2145218	2212615	2563362	
"Sudan"	0	0	0	2178614	2398432	1928693	2399546	2193031	2227198	1884771	2292123	2511655	
"Dominican Republic"	592005	904338	967391	1029937	1045515	1273626	1559823	1586358	1706285	2111622	2393011	2494606	
"Guatemala"	658823	1018467	1253975	1283708	1475308	1867281	2056521	1865949	1960373	2336547	2401423	2473316	
"Togo"	1129801	1333110	1831410	3383142	2443222	2491912	2181978	1938328	1893835	1991477	2131524	2461122	
"Côte d'Ivoire"	504863	548520	540633	803668	955795	1220079	1557673	1582291	1696098	1890200	2044094	2333501	
"Djibouti"	294602	444061	508853	902580	1018884	1112181	1985868	2191006	2187202	1871676	2210291	2308236	
"Ethiopia"	1252460	1209615	885361	1529870	1868466	2922309	3445410	3247689	2669946	2537682	2322761	2233338	
"Macao, China"	1851544	2140801	2355273	2708244	3170786	3592858	4615021	3259428	3186302	3097867	3047189	2222468	
"Belarus"	280421	795610	705135	919817	872160	1110594	747246	1094373	933513	1145353	1777676	2113344	
"Cameroon"	415876	540793	874109	1064318	1514679	1877578	1838133	1581578	1395374	1706517	1676311	2022776	
"Congo, Democratic Republic of the"	321209	473405	826685	837486	948752	1362183	1410389	1004006	972270	1772662	2077308	2013119	
"Mozambique"	339134	496391	700247	940887	1199293	1968740	1941302	1337071	1317469	1869325	1956814	1999921	
"Guinea"	281384	421350	630170	753851	907476	1101459	1280205	1157374	1245911	1353330	1718196	1912383	
"Libya, State of"	2002912	2061358	720379	2384239	2834679	2157612	1895780	1211185	1028537	1433045	2453887	1880557	
"Lithuania"	655714	982341	1335101	1630885	1686178	1658291	1210964	1294494	1596468	1763529	1681947	1807877	
"Angola"	2385960	2003873	2784153	4039171	3964059	5974997	3723163	1712643	2282863	2234928	2057495	1747846	
"Uruguay"	819613	1477575	2001564	2413269	2323634	2458490	1959159	1786564	2159528	2071256	1949787	1703798	
"Serbia"	308321	345016	396353	412876	431912	424563	416209	432989	545872	729047	1025171	1624515	
"Mongolia"	1057931	1449762	2731758	2653509	2449592	2216382	1571983	992268	1261249	1646742	1830214	1617155	
"Croatia"	1118522	1343731	1540930	1299886	1389943	1027325	985971	1021543	1155688	1329773	1386438	1566684	
"Bulgaria"	596052	660906	1005616	1054597	1116984	1178062	1044137	1059033	1166945	1442481	1546266	1547319	
"Costa Rica"	537823	688035	884537	901756	926977	1109538	1331293	1504221	1495475	1664265	1518533	1535873	
"Venezuela, Bolivarian Republic of"	2811265	3648587	6521892	9304091	6064501	5657421	5314949	2535885	1751130	1146539	1539866	1519258	
"Lao People's Democratic Republic"	376650	483623	476255	937094	1722577	1839475	1212287	1005864	1420409	1455739	1787924	1494702	
"Tunisia"	711181	994893	1112727	1391786	1263159	1235779	1240208	1306518	1327095	1415924	1365185	1427652	
"Malta"	1262785	1844910	2329586	2245419	2514566	3192859	2376905	1585299	2108031	1434090	1156399	1359598	
"Georgia"	191958	274932	761069	740330	862092	908676	768511	752653	915538	1102603	1400272	1275749	
"Paraguay"	513924	1050604	1248051	1335795	1356500	1396245	1273283	1163294	1561140	1671466	1431003	1216922	
"Nepal"	408889	731257	1181226	1968162	2210887	2283579	830006	870531	971085	1078402	1483417	1167439	
"Bahrain"	475314	799503	880012	1202782	1238929	1231782	1014519	805163	904233	1138820	1487765	1120429	
"Latvia"	452299	794160	1192947	1312709	1374267	1316699	1023450	1067721	1145469	1169822	1078372	1052223	
"Tajikistan"	1217574	1376501	1996778	1747870	1869364	2468236	1796604	1710061	1323547	1425934	1612376	1017821	
"Madagascar"	395383	396791	503376	542414	642961	752678	869659	964132	1017693	1015756	1073077	997509	
"Benin"	1952662	2273678	2874685	2413662	2992477	3485979	2993190	2065832	1931481	2150685	2155750	988867	
"Luxembourg"	3049991	987463	1595051	1956195	1807834	1948754	2325442	1255227	700187	855142	1546652	949473	
"Lebanon"	1056822	1319453	1458393	1691955	2490831	2604861	2291021	2158257	2021808	1982773	1676014	945745	
"El Salvador"	257452	365174	449992	490528	521956	601893	741316	773817	772152	929280	1001324	938227	
"Papua New Guinea"	528171	352496	453024	640097	553070	636457	989775	655088	778168	786854	801931	923024	
"Honduras"	212158	322142	421889	1056653	799037	686539	858663	722209	847678	988836	940485	922773	
"Cyprus"	1204660	1347788	1123405	1093322	971730	1037576	589286	464684	523525	736855	575625	893087	
"Somalia"	67309	72232	91209	101107	133761	206079	300015	397138	473644	637244	732058	892640	
"Estonia"	362296	676738	1130855	1233666	1109820	1146098	954352	965061	991172	1032203	915840	864083	
"Syrian Arab Republic"	2210406	2442972	2420241	1190229	690152	984371	1024351	939659	1104989	1275207	1315799	833605	
"Uganda"	231172	257526	359382	495143	452213	486569	555168	825620	777325	706400	741310	791649	
"Mauritania"	241781	284968	386275	455402	598451	756947	803838	885019	862683	1039976	1026410	740159	
"Haiti"	147487	255763	303639	283708	323494	391379	436884	457041	535728	616424	561068	709257	
"Mauritius"	292129	393287	496927	620171	648701	745182	842064	770829	762200	807777	804584	699892	
"Bolivia, Plurinational State of"	129715	172983	384540	353077	531469	705941	570293	610027	727940	836028	854028	687796	
"Zambia"	152030	301676	617335	697306	729692	725666	553244	492415	713843	969452	970303	681363	
"Jamaica"	196992	235623	370913	786097	627059	523044	630291	515087	518125	584454	670393	630442	
"Azerbaijan"	553289	846157	892619	1069827	868568	645253	439872	350494	387613	516278	617035	618026	
"Congo"	366637	353709	489431	520991	779293	984526	1039199	752084	500120	444878	434930	601519	
"Albania"	207862	199278	281483	343905	324596	378270	430471	512600	453691	541832	598524	571246	
"Gambia"	167549	186784	290968	257513	308521	350688	332790	319027	399023	426524	512673	535901	
"Zimbabwe"	156285	315863	410278	430484	413826	403801	546347	390871	441285	446070	368353	524670	
"Afghanistan"	213366	175265	230010	464034	328259	393559	364319	431894	541094	667868	600998	500859	
"Korea, Democratic People's Republic of"	1887741	2277347	3164704	3532383	3630075	3519651	2947443	2929120	3330975	2218140	2588886	491059	
"Nicaragua"	193256	299554	422029	466856	522915	568134	668771	626172	625001	474952	501836	486566	
"Cuba"	972162	1066898	1043647	1173554	1374786	1062465	1884178	1788107	1363040	1075790	790430	483258	
"Mali"	167597	229693	297735	290232	274639	297069	272108	368569	336904	345612	435545	468405	
"Brunei Darussalam"	140455	367609	744394	1252438	1703776	1746815	1411657	567520	653107	1597617	649638	466146	
"Turkmenistan"	915699	525117	784360	1699117	1137644	954282	817095	340029	369050	316779	431024	444714	
"Gabon"	154710	205807	269915	427374	432706	430394	667086	383085	447823	386093	377221	415581	
"Sierra Leone"	54662	98352	224834	249188	152567	163052	278649	250144	244459	253198	313687	371368	
"Trinidad and Tobago"	244055	291064	286550	312169	321390	427977	481805	348524	430167	347256	363467	341178	
"Burkina Faso"	42682	47956	55619	72506	103387	117972	125406	141148	183066	223341	261487	322519	
"Fiji"	96554	127636	171186	214023	244498	287254	330566	390105	366250	456332	350250	322181	
"Niger"	283717	272148	142167	158352	183941	243696	175158	101030	97703	114661	288823	303061	
"Chad"	148898	308491	94803	172778	371893	317710	125250	95620	115157	185529	278769	298321	
"Rwanda"	57987	49993	66652	90106	134109	114985	124274	109861	128602	165170	264786	282541	
"Bahamas"	422538	627810	550137	592077	336710	742873	1586188	360093	278224	474019	355614	279799	
"Maldives"	40662	63476	97122	76488	97414	103990	172590	333158	297550	396693	342003	274856	
"Guyana"	59085	83470	132625	199506	160138	167286	160996	184229	189296	223073	273031	265407	
"Botswana"	165398	369503	616162	182121	148252	176149	226461	211715	233139	281472	302212	235685	
"Namibia"	264497	229542	282265	438911	481941	545725	497688	272144	271474	319473	200886	223114	
"Armenia"	87415	117130	135723	113204	119850	122809	113611	112184	141175	213134	220341	222790	
"Suriname"	96164	113951	136184	189140	174032	176865	202207	141602	178487	216222	234717	221329	
"Malawi"	65134	80077	112097	249067	213793	157117	248233	232743	266017	222353	260095	218586	
"Timor-Leste"	23260	42832	70433	62474	47386	60342	105954	167048	132924	132781	143579	190414	
"Macedonia, North"	56010	52783	91811	88750	63476	76664	86492	89946	77716	107788	131928	156833	
"South Sudan"	0	0	0	34312	75087	66079	155333	45680	51852	77076	122630	156053	
"Moldova, Republic of"	72571	80523	97491	123942	112629	115205	99966	76791	97899	108656	119532	145793	
"Equatorial Guinea"	358424	456241	266317	361434	357517	352515	263693	150416	165966	145170	113297	122097	
"New Caledonia"	55644	407155	135163	96653	90341	90754	106188	86517	85249	134124	155403	121935	
"Bosnia and Herzegovina"	35658	37589	41435	46712	91328	283984	61502	64153	78483	109826	113614	120102	
"Solomon Islands"	16137	28414	30676	36681	36802	49442	82257	93047	96147	118338	98567	116602	
"Montenegro"	76823	71083	89982	145761	86383	157066	134142	108747	132497	178356	113762	113155	
"Belize"	33026	40322	49491	52512	122365	95861	80078	96420	89367	92590	116803	105609	
"Iceland"	54217	71008	76581	95388	146642	143759	125013	133913	110499	255708	113072	100893	
"Palestine, State of"	23624	26008	47815	40725	90677	75507	70770	61599	69361	73758	81963	100570	
"French Polynesia"	28087	35309	41839	47823	49490	52656	103576	54516	61880	77728	99339	100176	
"Antigua and Barbuda"	493690	806161	656772	746977	245482	172363	54021	103666	45106	54803	71883	91316	
"Samoa"	37236	70052	37816	71746	54473	55867	64573	70514	64630	70335	87949	87313	
"Barbados"	91554	71357	143863	96112	70210	71455	65337	72669	107522	136698	155688	79096	
"Cabo Verde"	35405	34335	49752	57490	61996	51223	44927	48840	69142	78050	63419	77789	
"Burundi"	33988	33361	42544	46460	50962	51602	43347	45241	45173	36904	66387	76101	
"Vanuatu"	47442	22604	133860	133612	380483	180236	72398	64875	66050	63431	76761	72569	
"Eritrea"	39478	38800	148156	53532	137957	88144	135395	69317	43063	42841	48608	70486	
"Lesotho"	50392	59363	73109	94371	89829	88761	84015	55470	61300	64201	72062	59382	
