Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2281855922	2118980582	2271796142	2494230195	2498569866	2590607686	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	301099032	388755010	445756705	487322454	561288340	570924486	600292287	557061947	598974916	664425033	670997854	710123506	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	236009996	309813672	353763873	375899473	383152558	400834160	364536627	344804517	382926132	429953148	416975731	440251631	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	38936958	50584032	59336352	77886190	86414579	93374119	98734456	89500005	89816692	96416994	99499770	109394364	
39	"Plastics and articles thereof"	25274692	34696577	45420906	55194044	61753142	66789420	65835653	64035659	70645690	80135877	84386942	96410779	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	38914169	52109780	60684983	72631372	74530412	74001396	73779680	67870303	70648126	71444014	72995669	80224507	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	27931282	38397962	49539445	55117129	58549754	64192713	62651637	60416649	67358135	75094321	74366536	76265427	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	16816773	19744230	22673294	24015853	26825158	28472646	26954429	25724646	26469444	27848983	27917683	75624449	
95	"Toys, games and sports requisites; parts and accessories thereof"	26489520	29306702	34304910	35619114	35847098	38552900	42739073	44752051	55259517	56730622	62798229	71531654	
73	"Articles of iron or steel"	33781144	39143621	51196168	56156107	57347766	60637042	60629517	53101329	57301335	65558408	69554449	71062581	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	46716321	54361478	63073873	61224360	68251874	81445116	78506716	72766740	73591016	71448039	66798309	62342227	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	53762969	66710933	80164561	87045225	96792727	91991730	83842271	75026960	71972535	73525495	71440138	62243501	
29	"Organic chemicals"	24229862	31451721	39292337	40408414	42201531	45442905	42683948	42177868	49731545	59795623	56814767	56963172	
64	"Footwear, gaiters and the like; parts of such articles"	28016268	35633851	41722333	46811268	50761328	56248574	53609479	47803884	48437783	47135169	47803893	38115076	
72	"Iron and steel"	13481835	28931498	39877628	37117672	38621005	55478832	49223944	43413076	43073950	46917053	39463924	33413368	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	20384070	26674613	32275552	31017957	33799248	34451695	27946007	26849906	35453364	46630492	47035193	32117928	
