Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1681670816	1588695867	1840957060	2134987265	2068950255	2055590612	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	243756119	314282498	350954252	381520999	439417537	424319488	431610860	414337517	455494791	521542155	496832132	548743322	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	123970041	188965812	275766337	313066988	315232252	316787667	198679762	175813094	247578520	347782297	343636632	267556481	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	123717219	172150025	199313752	181960039	170570903	179377721	157189653	147754410	169779652	202317919	190308746	191963813	
26	"Ores, slag and ash"	69590904	109386524	150655638	133727965	148772300	134660947	95064522	93160255	125380730	135914467	163605608	180016125	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	66996321	89919369	99140733	106145649	107588269	105806107	99721428	92641354	97414143	102526375	98661866	99096789	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	28363242	49504235	65438574	70596739	74147799	89509494	69607641	71481212	79231361	81492534	75125428	73973876	
39	"Plastics and articles thereof"	48513919	63704657	70198652	69424491	72390786	75190305	65609923	61006719	68949683	74867230	71578324	71041152	
74	"Copper and articles thereof"	29513125	46183467	54251470	54516255	49828688	47278407	38388299	33236165	41196624	47646537	40807909	48548713	
29	"Organic chemicals"	36163021	48263067	63131991	60864293	65876608	60312892	47878739	43865355	55761871	67391000	57806523	45557665	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	21005837	27061892	32020530	38582565	42626755	45887757	39817320	38274346	44497829	43371567	40158355	44962864	
72	"Iron and steel"	27816485	25326244	28380643	23280399	21335562	21167203	18225686	16859864	21492507	22377160	23357497	36820912	
30	"Pharmaceutical products"	6015012	7236105	10347763	12993175	15096015	17752095	19227237	20734931	25250504	27900028	33614184	34919392	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	6550563	10846861	14911410	13219293	18339649	41893506	17957139	15694323	14331075	61958709	60540892	31749870	
02	"Meat and edible meat offal"	1701444	2224995	3411422	4107752	5929656	5844331	6798207	10259495	9485369	11018798	18835596	30271801	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1178062	1502226	1939008	2151272	2384842	3372164	4513507	5510603	7633644	12374999	16151703	20493638	
44	"Wood and articles of wood; wood charcoal"	7255434	11234863	15857712	14937030	18768838	22797546	18627018	19596940	23411325	24914415	21976451	20186939	
38	"Miscellaneous chemical products"	9040077	12259144	15409178	15316420	15720199	16807073	14429096	14520525	15953100	18071690	17507307	18835914	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	10639756	14178159	18907489	17247792	17305501	17413803	18037211	17225785	21211288	24011030	19240368	16906278	
40	"Rubber and articles thereof"	10374140	16925289	23062948	20651789	19898563	17370613	14157608	13823160	18888035	16908808	15370908	16130939	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	3604804	4365460	5587562	5488977	5993593	6583348	6335959	6906670	8062462	11605738	15411425	12372366	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	1719970	2139435	3035471	3807879	4100716	5144604	6009606	5857442	6376662	8680371	11662825	12016014	
