Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1681670816	1588695867	1840957060	2134987265	2068950255	2055590612	
"Taipei, Chinese"	85722961	115733646	124910647	132199339	156405132	152007130	144980999	139715214	154796770	177345362	172800947	200664323	
"Japan"	130937525	176736084	194567856	177832336	162245573	162920512	143092949	145771152	165494647	180401786	171523312	174867747	
"Korea, Republic of"	102551712	138339223	162716843	168728402	183072918	190108773	174563830	159168781	177523904	204566451	173553267	172756030	
"United States of America"	77755101	102734185	123124010	133765823	153394862	160064514	150543984	135047253	154839684	156004357	123235656	135996513	
"China"	86413993	106867897	122614384	142929913	157540888	144880437	144434506	128794412	132604645	146381812	129525387	125277787	
"Australia"	39438780	61105168	82667477	84568209	98954088	97630887	73871388	70233044	94632692	105083923	119608314	114836642	
"Germany"	55764084	74251272	92726220	91933081	94156750	105012760	87689442	86118708	96932837	106257241	105037212	105261229	
"Brazil"	28280983	38099447	52386750	52281127	54299123	51653225	44339257	45603468	58476878	77141726	79203569	84083784	
"Viet Nam"	4746740	6984262	11116531	16229125	16891893	19906398	25127731	37216721	50374166	64087360	64078465	78474632	
"Malaysia"	32330691	50430150	62136640	58304935	60153184	55652243	53257648	49118293	53961162	63321954	71629893	74733134	
"Russian Federation"	21282952	25913994	40362600	44138279	39667828	41593505	33216612	32131140	41351921	58887066	60257151	57180563	
"Thailand"	24896942	33193365	39039796	38551206	38522681	38331928	37221138	38686369	41805850	44918670	46134732	48097894	
"Saudi Arabia"	23620244	32829048	49467520	54861126	53450711	48508026	30150711	23613002	31751563	45898673	54257291	39033136	
"Indonesia"	13663783	20795189	31337084	31935986	31424279	24485247	19814522	21344561	28517172	34154685	33992843	37368969	
