Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	1125844048	1267743109	1483802558	1410146321	1450937515	1498238432	1323665116	1332489067	1444776367	1556622939	1486877250	1378030840	
"United States of America"	76297833	87421805	103181346	112269321	119125993	127776387	126090209	118236226	126254167	133896931	132857659	118774405	
"China"	52262376	71552785	90642574	86102711	89316350	99201360	79028920	84115719	97505540	109780291	107451431	109762911	
"France"	113102144	118330726	140516046	131164664	131619532	133479253	113907395	111782214	119164849	124447383	119212781	103537505	
"Netherlands"	73105413	81730271	93448453	87342585	90491653	93045615	81552341	82837796	90020575	99550047	92774475	88956433	
"United Kingdom"	74114907	77278975	89401172	90727204	94442690	104888480	98368704	94905257	95961991	96942954	88475888	76336157	
"Poland"	43005814	49611941	60202557	53532844	56170087	63110601	57696208	60327773	66667799	74762787	73609779	74232206	
"Italy"	70613653	77618191	85828428	71046413	70098925	71613560	64083976	67712471	73735334	82387243	75895458	68857974	
"Austria"	63761932	68330565	79124244	71554033	73352504	72909334	63840808	65482092	70104620	75389144	71033393	66749855	
"Switzerland"	49886837	55930655	67278677	63463871	63150724	62606692	54670993	55895711	61364846	64304110	63676565	64798039	
"Belgium"	57966551	58662692	64318098	55785418	55250847	55474865	45276822	45925963	49831849	52307614	51672860	49469703	
"Czech Republic"	30557921	35065252	41413529	38378443	40650287	44154932	40111389	42003067	46751005	51842656	49451433	44898254	
"Spain"	43631817	45338545	48435742	39879186	41607663	46242249	42974802	44843868	48610534	52254479	49530690	42842544	
"Hungary"	16287017	18729804	21953043	20829781	23244538	26339615	24209029	25190525	28148168	30921545	30096079	28158299	
"Sweden"	21688066	25678648	30664656	27108185	27309765	28391467	25443563	27502742	30144771	30958464	27888450	26638136	
"Russian Federation"	29592571	35937582	49359616	50180976	48738490	39845206	24003995	23823913	29110398	30575295	29725013	26354432	
"Turkey"	16393171	21678681	28160076	25950999	28498296	25664987	24703019	24216131	24280334	22729040	21903773	24422427	
"Denmark"	17846943	18334498	20339168	19075405	20732965	21514739	18487291	19206751	20691180	23572859	21488112	21070133	
"Korea, Republic of"	11173893	13666269	16347514	17277253	19262785	20826022	19818360	19059815	19740735	20416308	19316422	20281059	
"Japan"	15461099	17686179	21397447	22236864	22872493	22779313	18826075	20252781	22091562	24118012	23137108	19838354	
"Romania"	8928175	9663528	12248000	11772704	12797058	14290127	13554189	15006649	17107228	19201389	18849464	18140353	
"Slovakia"	9176344	11547391	14439690	13286692	14125092	14797917	13494660	13873927	14694568	16474406	15760231	15070783	
"Mexico"	7133905	9148733	10598271	11446026	11947601	12099606	12265035	12278572	14593792	16405187	15325969	12939912	
"India"	11327778	12382039	15190395	13445520	12219742	11885134	10794023	10822829	12073716	14733295	13336497	12232259	
"Finland"	9883370	10127837	11753963	10324539	10843050	11642828	9958768	10215943	12496199	13131622	12379238	11716687	
"Area Nes"	1425612	414020	1074763	5838	161189	24543	10663735	7204993	8577899	11636399	14254397	11256577	
"Canada"	7381632	8610314	10297239	11583623	11861049	11624787	10940978	10444233	10908993	11987577	12214370	10639700	
"Portugal"	8636018	10247442	9714352	7870355	8401935	9403427	8339167	8771720	10120566	11842849	11921000	10158833	
"Australia"	8874506	10482158	11676187	12077909	11441295	10395623	9339124	9938902	10728864	11820076	10320292	9682345	
"Brazil"	10199370	13849356	15627543	15151765	15134138	13945735	10937917	9441222	9586991	11165749	11367278	9657434	
"Norway"	8882086	9986798	11180706	11172987	11116263	11440171	8956518	9576217	9880297	10735017	10226420	9592067	
"Taipei, Chinese"	5444145	8057183	8757159	7471026	7854773	9171519	8190716	8348888	8679474	9323399	8729005	9340783	
"Ireland"	5095426	5498849	6212882	5976270	7241394	6904586	6480337	6458046	8897231	13564906	8938683	8791724	
"United Arab Emirates"	8768108	10352466	10773678	12718892	13321800	15225056	16165051	15961980	12527523	9745674	9768251	7905436	
"South Africa"	8123963	10274481	12214959	11464125	11431424	11127907	10675525	9754347	10742540	10461667	10342189	7475428	
"Singapore"	6983654	7985001	9032474	8482659	8481574	8423816	7321609	7427238	7826926	9422598	8181658	6988198	
"Greece"	9216853	7740508	7055375	6087984	6277520	6446459	5176068	5492371	5902755	6786484	6805822	6930273	
"Saudi Arabia"	6866302	7768058	9608612	10627977	12338480	11901919	10999829	8036914	7374342	7399019	6610835	6630874	
"Hong Kong, China"	5722830	7451366	8255634	7674908	7529195	7870979	6491092	7468875	7803633	7160950	6594884	6359646	
"Luxembourg"	5989625	7042683	8256768	6929686	7017861	6886149	5760586	5910857	6530244	7074521	6407508	6256019	
"Slovenia"	4252917	4757583	5498041	4947226	5439204	5444589	5045761	5253677	5909076	6588125	6133509	5604440	
"Malaysia"	4589011	5737581	6075738	6395853	6392913	6403863	5322491	5259835	5679467	6117086	6234610	5293219	
"Ukraine"	5335290	6317064	7647920	7619731	7296163	4886324	3228516	3978500	4952074	5291511	5327440	5103888	
"Israel"	3452466	3908342	4892706	4780742	4835378	5437763	4485880	4427716	4909341	5397477	5223790	5074280	
"Thailand"	3012931	3723358	4505958	5453954	5266389	5221447	4470650	4872170	5296872	5982415	5618451	4782934	
"Egypt"	3811779	4073560	3362597	3436001	3200826	3850824	3680868	4877081	4879249	3880534	4046493	4578354	
"Bulgaria"	2661625	2882183	3297762	3453647	3513650	4359302	3830094	3871152	4233710	4712110	4403465	4145809	
"Lithuania"	1968706	2312556	3071472	3049609	3281014	3405404	3064053	3341346	3686571	4081686	3872178	3936980	
"Croatia"	3223337	2762630	3200217	2871148	2719820	2968836	2911932	3288905	3709081	4261920	4177090	3846733	
"Serbia"	1964543	1956332	2293304	2198287	2302672	2481728	2338826	2519543	2871895	3429479	3568019	3524489	
"Viet Nam"	1600071	2034494	2525570	2541135	2463257	2632962	2528345	2879549	3952080	4813182	4812338	3398043	
"Indonesia"	2115681	2676590	2982005	4140157	4163875	3936958	2942777	2678270	3046073	3388981	3096932	2396499	
"Philippines"	1122054	1482430	1742432	1995614	2317216	2707994	2376020	2268255	2299891	3031802	2791157	2192191	
"Morocco"	1847313	1859998	2162778	2099096	2146725	2282876	2083815	2184936	2309690	2401163	2456259	2178723	
"Chile"	1707560	2412038	3170656	3320977	3717565	2822964	2647275	2704625	2596537	3132798	3228805	2159392	
"Argentina"	1937188	3194468	3749297	3511534	3769668	3267013	2938380	2847862	3341819	3448972	2681180	2116193	
"Estonia"	1180546	1572281	2156628	2025324	2228660	2269244	1760746	1832115	2010103	2363570	2039687	2085908	
"Algeria"	2265452	1930790	2209680	2451301	2820541	3531107	2657996	3547576	3476235	2554958	2279592	1883800	
"Latvia"	1128377	1271918	1840057	1840627	1879570	2010404	1794060	1868900	2027988	2117572	1928731	1765171	
"Iran, Islamic Republic of"	5315533	5099469	4383570	3301820	2495189	3224430	2271316	2837825	3364853	3186742	1691013	1764133	
"Ship stores and bunkers"	0	0	0	4820822	4846984	4671808	2829040	2891714	3436884	4493160	4018889	1724073	
"Kazakhstan"	1889117	1900596	2519782	2669846	2949803	2356472	1367149	1198856	1426728	1665795	1616577	1718678	
"Belarus"	2383476	2837712	3051806	3019083	3105002	2442035	1409019	1259885	1644834	1756019	1635406	1574190	
"Colombia"	1241920	1608596	1805280	2129198	1943543	2403537	2005167	1579347	1891040	1746868	1911701	1500263	
"Tunisia"	1741016	2143764	2179570	1816936	1769065	1764754	1498358	1529486	1786205	1766340	1626000	1417357	
"New Zealand"	859466	951990	1225905	1297256	1445145	1437219	1196607	1212282	1507994	1764359	1921423	1366813	
"Qatar"	1525497	2084761	1425135	1517057	1684316	2811706	2377851	2790341	2492776	1593075	1623672	1290783	
"Pakistan"	1052086	1034819	1067564	1123920	1111697	1076263	1124640	1282109	1360412	1544660	1248279	1210162	
"Macedonia, North"	576730	611008	741974	663843	731790	907530	926324	1036013	1180007	1425699	1410436	1185321	
"Kuwait"	1360750	1592660	1485180	1576226	1776921	1913353	1452073	1548668	1472665	1508079	1611171	1171171	
"Iraq"	857975	1201450	1614677	1655940	1861163	1539806	1100907	772414	751233	844999	1102005	1033048	
"Nigeria"	1532771	1455578	1823710	1645988	1791168	1852343	1143796	847817	1055711	1022561	1128645	1016001	
"Marshall Islands"	15894	353217	98028	192522	203324	756517	649701	162594	461748	802395	174067	992858	
"Bosnia and Herzegovina"	866177	862194	1043870	980776	1006704	1055124	904007	912957	964752	1067280	979621	895697	
"Lebanon"	872186	1066314	1021557	1129925	1045162	1044915	905375	902750	915684	896897	722834	892508	
"Peru"	611298	827902	1078354	1229330	1283488	1221510	925091	953969	985027	993257	1041729	864381	
"Oman"	631564	742906	1110239	1071430	1022599	928607	1039131	924508	1040320	950859	978404	837865	
