Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	928891172	1060672352	1261588484	1161247824	1187301533	1214915242	1053388444	1056664804	1164586085	1286008402	1236217435	1171580759	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	115902013	132043855	153582664	141566012	143223900	150690852	133529218	136600446	149636920	165367365	160676106	150263318	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	104898750	129150664	140639973	127073558	128309197	135488445	124422759	130624922	145974142	159502590	151586502	149730607	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	77956645	78832835	98288123	93137319	96717171	104943731	99637622	110237824	121633396	133631931	137101039	123657699	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	108473416	124577582	170967239	167120272	168930182	150875583	99538587	78391782	92430886	116003944	108989617	76898647	
30	"Pharmaceutical products"	45240304	45150772	48571203	43534211	45232159	49293263	45206793	48332745	53380330	57240725	58585025	65756918	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	27687170	30985656	36655058	35058170	36512289	38824894	36431014	37943245	40332783	44220658	44006150	42732227	
39	"Plastics and articles thereof"	29729862	36314491	43095517	40306562	42601675	44633003	39148473	39900156	44363841	48641085	44588746	41811099	
29	"Organic chemicals"	25652648	28611708	34894146	32770947	33504683	34284120	31284768	30101191	34464654	46180996	40916752	37747495	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	11762885	16339242	21511896	18936589	18936096	16286420	16193917	16889537	18962435	19465699	20436770	29183848	
73	"Articles of iron or steel"	16902664	18902508	24252467	21883027	22523854	23745846	20589849	21107447	22970219	25740670	23985153	21923506	
72	"Iron and steel"	20384729	29198475	38260023	31127646	29730527	30440969	24999129	22952641	29046380	33183153	27371288	21731290	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	15157878	16597216	18996042	17935231	18897192	21275585	19202177	20235085	20551564	21711123	21057544	21086893	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	14804902	15960895	18493086	16213623	17638019	19009509	16965911	17467314	19051641	20233915	19639904	18975480	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	15954898	16417745	19604080	17315175	18074683	19079335	17019569	17493559	18495676	19690767	19316522	18161402	
38	"Miscellaneous chemical products"	11913121	13433647	16392007	14582014	14869537	15665791	13401530	13718924	14893871	16531248	16096402	17682387	
76	"Aluminium and articles thereof"	11370024	15678199	19256744	16775834	17123330	18210609	16943124	16559971	18139324	19739888	17403536	14997475	
40	"Rubber and articles thereof"	11176105	14563196	19885966	17268323	17539464	17286523	14514094	14846076	16026823	16897963	15261328	14074828	
88	"Aircraft, spacecraft, and parts thereof"	24508515	26881931	25992138	24155718	27056496	28635210	25242736	20094612	17702722	16932985	17817630	13989153	
99	"Commodities not elsewhere specified"	16546600	15607255	17207455	14459203	13116353	14110404	12764861	12544873	13886366	15349988	14833724	13943975	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	14350552	15077786	16636761	14689132	14885188	15658495	13340242	13366372	13862397	15044754	13803685	12803976	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	7942348	8239828	9019318	8774771	10119320	10142480	10127807	10375666	11292982	11847078	11240524	12606395	
64	"Footwear, gaiters and the like; parts of such articles"	7084964	7998333	9857017	9103276	9984905	11212626	10583977	11180353	12507009	13203500	13214481	12444188	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	3359857	3796012	4697645	4054564	4121304	4513194	4036983	4176833	4340397	4647873	4553423	11589807	
74	"Copper and articles thereof"	7853155	12156307	15604506	13515820	13398205	12270464	9863768	9094201	10873706	12200846	10516092	10137228	
26	"Ores, slag and ash"	6268439	10047987	13346623	11203412	10263926	10108017	7238481	6521820	8580368	9140651	9422515	9973473	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	7123212	7631638	8586594	7959657	8854456	9279740	7569431	7630277	9323843	9610978	9144090	9514654	
95	"Toys, games and sports requisites; parts and accessories thereof"	9172355	7165461	7810380	6545846	6152359	6698588	6644488	6605242	7833284	8942588	8543998	8817475	
44	"Wood and articles of wood; wood charcoal"	6502470	7606811	8885553	8118593	8602223	9178325	8011678	8333299	8711073	9599868	8823975	8654308	
22	"Beverages, spirits and vinegar"	7350223	7372115	8686168	8450657	8811344	8434767	7187465	7501575	8057833	8641794	8476650	8449932	
07	"Edible vegetables and certain roots and tubers"	5712068	6346020	6337346	6162338	6918632	6697690	6154302	6499629	6944417	7229192	7160764	7625342	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	5268208	5738946	6335860	6244350	7104690	7266602	7039343	7420443	8140139	8655655	8295781	7428857	
02	"Meat and edible meat offal"	6579012	6647389	8124135	7616971	8019578	8053835	6683492	6977102	7666016	7996203	7651287	7083128	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	4292396	3949403	5416682	6308790	6691072	6111406	5332041	5476424	5935920	6199055	5981916	6499552	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	4500664	5738679	7125521	6829511	7591512	7661636	6286975	6410921	6886981	7151649	6558992	6479723	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	7092431	8579676	9617232	9395934	8240062	8320648	6902282	6436341	7198852	8145123	7388822	6312901	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	4902719	4802892	5705837	5466712	5480834	5632504	5165411	5096894	5627660	5860971	5580612	5839600	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	3969520	4569453	5746334	5352752	5292828	5776531	5181345	5251787	5679018	6222619	5943741	5545478	
83	"Miscellaneous articles of base metal"	4051946	4631684	5294549	4871380	4981592	5324690	4742630	4958544	5282677	5718411	5431270	5243817	
70	"Glass and glassware"	4551781	5194443	5789598	5226534	5612677	6084690	5211411	5563983	5854485	6241799	5782033	5210360	
18	"Cocoa and cocoa preparations"	3592471	4139919	4683644	4180785	4253288	5050919	4763111	5171772	5035967	5150192	5167529	5140910	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	3222465	3158794	3602270	3505741	4081721	4349655	4184249	4386613	4762971	4956958	4824826	5062539	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	3368125	3666468	4220203	4037816	4318143	4490999	4049700	4168894	4498842	4922088	4843721	4774227	
23	"Residues and waste from the food industries; prepared animal fodder"	3712151	3708171	4185038	4530762	4778908	4760091	4154912	4106262	4294631	4629830	4455907	4590094	
09	"Coffee, tea, maté and spices"	3287895	4127118	6063789	5409033	4473580	4895512	4638333	4589056	4826919	4468492	4141458	4436773	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	3642867	3782914	4349102	4006371	4376147	4816276	4000337	4456020	4660217	4665205	4557258	4341996	
21	"Miscellaneous edible preparations"	3609510	3225666	3012241	3154042	3407434	3660314	3214175	3442251	3711002	4036920	3971285	4312972	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	3073465	3399362	4135564	3837391	4176612	4589273	4368096	4430238	4659609	4858629	4858767	4180123	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	3456241	3986568	5838883	4529343	4828495	4708877	4046297	4325113	4482146	4246046	3845122	4136508	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	2697726	2616393	2985123	3060321	3101616	3029926	2664073	2793324	3122491	3544212	3345227	3552151	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	2541051	2917362	3517544	3287612	3308570	3576475	3265170	3375771	3578794	3939769	3862281	3531407	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	2249115	2361923	2225696	2231441	3114609	2849711	2642458	2699230	3072600	3189205	3644995	3484210	
10	"Cereals"	2461458	2370016	3362412	3090809	3311229	3422781	2866914	2723969	2745069	3164874	3158630	3397215	
96	"Miscellaneous manufactured articles"	1549998	1707374	2006205	2827154	2991271	3243495	2814236	2976110	3131063	3356155	3211159	3286000	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	3219001	5085071	5443333	4499747	4702225	4549405	4175873	4085258	4420925	4917009	4183746	3282255	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	3417158	3470130	3935954	3608248	3466143	3511354	2946793	3087814	3143055	3404508	3249154	3279859	
69	"Ceramic products"	2501497	2757634	3141186	2908306	2923442	3177658	2911036	3064303	3145486	3393563	3225544	3103692	
24	"Tobacco and manufactured tobacco substitutes"	2644007	2335859	2907179	2422675	2451574	2652227	2161979	2147536	2459006	2771556	2841396	3035978	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	2905681	2619658	2826038	2515864	2379718	2656041	2566283	2836037	2840907	3187485	2955751	2887512	
35	"Albuminoidal substances; modified starches; glues; enzymes"	2028661	2142303	2540471	2441665	2589627	2735813	2277655	2148759	2376756	2467666	2461846	2451083	
91	"Clocks and watches and parts thereof"	1550140	1870902	2466884	2727748	2882863	2832121	2831551	2331566	2250261	2262119	2349695	2285858	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	1914497	2409353	2748769	2359876	2343939	2380743	1971428	1991331	2063388	2336983	2139815	1910584	
17	"Sugars and sugar confectionery"	1746324	1634846	1958013	2082030	2191084	2126223	1770800	1780699	1856618	1826010	1782454	1789929	
01	"Live animals"	2077760	1986764	2133151	2293725	2695054	2582330	1961745	2255700	2195208	1917912	2054324	1788318	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1306911	1382729	1641806	1472736	1523195	1627902	1452238	1471382	1606296	1752670	1674907	1705135	
89	"Ships, boats and floating structures"	6631894	14709972	10134218	6112447	4548694	2556570	2015044	2850156	2956421	2469818	2479768	1610481	
81	"Other base metals; cermets; articles thereof"	1267717	1608025	2328631	2249601	2176202	2308674	1863628	1794397	2189742	2453875	2126291	1594701	
75	"Nickel and articles thereof"	1149055	2265998	2823800	2358230	1823266	1804176	1436181	1233018	1469449	1871768	1838752	1502771	
97	"Works of art, collectors' pieces and antiques"	655100	538629	675116	757741	771986	793699	578879	568555	535762	649821	694358	1443406	
54	"Man-made filaments; strip and the like of man-made textile materials"	1515347	1822899	2051147	1795202	1804276	1913700	1677957	1641138	1751623	1822361	1620032	1361613	
55	"Man-made staple fibres"	1516912	1838198	2300623	1980028	2012097	2065746	1675103	1639474	1672359	1743382	1582798	1335451	
79	"Zinc and articles thereof"	885488	1409064	1591835	1348059	1375385	1561233	1353715	1433827	1844935	1915812	1587348	1309882	
57	"Carpets and other textile floor coverings"	1372934	1379903	1534796	1281083	1321331	1332644	1159698	1216369	1239187	1262669	1200229	1192658	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	1388094	1268740	1573489	1438142	1435563	1379955	1206071	1240976	1294724	1342300	1261085	1164013	
31	"Fertilisers"	1166522	1466353	2104783	1937112	1894961	1918324	1595701	1282394	1260414	1084788	1158759	1069580	
05	"Products of animal origin, not elsewhere specified or included"	874998	882435	1100045	1160684	1196794	1155758	934169	936049	1130575	1163154	1115469	1018560	
37	"Photographic or cinematographic goods"	1095733	1090195	1147991	1080322	1114842	1052396	841029	865819	989652	1093104	1017678	846703	
65	"Headgear and parts thereof"	477731	554958	624515	551422	580031	641051	569269	612361	679500	725559	805231	799284	
92	"Musical instruments; parts and accessories of such articles"	568776	679539	737636	714660	635858	706007	624524	647046	672294	752546	768899	789184	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	590010	524902	720028	639159	683984	643228	570441	607895	630836	769340	770387	779504	
52	"Cotton"	1037636	1228758	1706885	1295272	1288763	1253316	1021913	991180	1057268	1037474	865871	756924	
13	"Lac; gums, resins and other vegetable saps and extracts"	459297	502884	589441	595705	614958	597950	529339	536944	560222	670581	609091	673333	
41	"Raw hides and skins (other than furskins) and leather"	835179	1060485	1303514	1100624	1208784	1290604	944778	896704	904308	858396	674423	489935	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	713633	948360	1246594	1031267	894459	830047	673414	732299	742621	744454	657789	469325	
60	"Knitted or crocheted fabrics"	491300	545298	645962	598762	551139	571476	504551	511625	535895	533528	489046	458837	
78	"Lead and articles thereof"	276134	433380	501383	401555	441417	426448	343913	380818	563382	586791	512205	422443	
80	"Tin and articles thereof"	249504	445851	649478	468671	513048	526293	380766	412642	510743	516186	446524	330200	
93	"Arms and ammunition; parts and accessories thereof"	207566	206978	250035	273313	282509	234735	206985	259373	265616	262871	274425	277118	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	200589	214143	259642	216809	211794	254127	250207	236943	243558	278230	286545	276498	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	393341	425830	461684	410613	367721	358383	295916	306897	298664	306494	281815	251588	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	174225	199475	228183	206865	194082	198721	197702	209413	224946	253939	271392	250584	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	278113	298928	329448	328296	305991	328399	305641	280321	284724	294733	256369	241954	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	165530	162151	178749	154388	135813	148165	146018	139025	131885	127052	133386	148579	
45	"Cork and articles of cork"	133903	142669	142145	123954	120365	121447	108861	118106	115123	119148	121900	116647	
43	"Furskins and artificial fur; manufactures thereof"	179654	195981	270761	263349	243535	227222	150196	139201	166858	178025	150824	91846	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	90040	92446	121728	99619	86748	86948	79110	81295	76947	79324	78321	70984	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	30684	34771	39591	33983	39162	49033	42822	43692	46189	50857	53283	49417	
