Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	928891172	1060672352	1261588484	1161247824	1187301533	1214915242	1053388444	1056664804	1164586085	1286008402	1236217435	1171580759	
"China"	79318156	103800346	112601120	102393093	100312728	107580164	101946561	104014508	115183864	125101066	123165529	133703570	
"Netherlands"	70206793	81234573	102777849	99542585	106236197	107890328	88068305	86331047	94549488	104529826	97396130	89110431	
"United States of America"	55787029	61153544	69261437	67205165	66571065	67526624	66428354	64142420	69868049	76179360	79839832	77279653	
"Poland"	30865755	36590217	44940677	42449937	47804573	52677854	49567310	51435745	57121975	65020284	64435078	66872661	
"France"	74210528	80236673	91466126	81711208	84194176	88574293	73935687	72652093	72570697	76813927	73968958	64443010	
"Italy"	51437324	55469075	66246065	61328020	61971043	64128499	54036205	57215601	62503877	71146737	63901631	61713371	
"Switzerland"	40386121	44135358	52541030	49639092	52077146	53867785	47127224	49120554	52102300	54821289	51847920	52424430	
"Czech Republic"	33414493	38024327	45478683	41760128	43831827	48840447	43447447	46731625	51582891	56147443	53313659	49858365	
"Austria"	37923153	43327980	50889534	46428048	47878974	47680377	40965636	42275636	45511686	49489237	46459920	44301309	
"United Kingdom"	44453586	49762876	60632048	52930006	51782588	50626648	41899255	39082685	41052569	43374270	42483543	39282145	
"Belgium"	38710830	43573067	51403026	46632378	49629350	51025159	39483220	40066764	44664391	53232953	45564783	39215888	
"Spain"	26416071	29085288	31301047	29837449	31389321	32956432	29036272	30822670	35430483	38313611	37100139	35779212	
"Hungary"	19182679	21714193	25341993	23736708	25855565	29184595	26365011	27679122	29802977	32331752	31982877	31414890	
"Area Nes"	823716	0	0	349	0	0	35798023	26109818	29197782	34607375	35504547	28713862	
"Japan"	27256699	31391416	34885269	29961882	27492037	26500610	22377628	24267202	25896658	28016813	26756331	24313041	
"Ireland"	19251379	17961192	17166289	12974604	11660523	11789826	11998963	13085647	13213641	15991247	20590270	24134494	
"Turkey"	11637227	13291164	16433879	15526526	16350055	17880771	16113896	17107232	18367627	19374084	17764158	17559879	
"Russian Federation"	23289316	31119378	41696767	41244185	39698776	37042740	22930858	20598602	25090016	29964134	24863110	17439146	
"Slovakia"	10199291	12155135	14928333	15441972	16270576	17018365	15033565	15824653	16535259	19524145	19756412	17318358	
"Sweden"	14160295	16985354	19647383	17708038	18474036	18640529	15477649	15836404	17527565	18665337	17203238	16821473	
"Romania"	7895539	8564362	11639143	11079611	12178935	13575175	11903352	13846099	16882192	18896141	17686738	15442400	
"Korea, Republic of"	11051006	15041553	13545687	10969600	10753920	10661567	8524684	8565734	12828572	14316894	13760781	12894923	
"Denmark"	14233087	13781477	16705629	14395137	14887657	15076848	12365865	12205392	13159911	14784872	13169187	12660363	
"Viet Nam"	3249832	3956805	5643214	6649829	7541006	8092434	8924402	9745278	10887622	11552172	10884226	11712633	
