Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	102142613	113883219	134906869	152461737	161480915	166504862	143844066	142606247	156992940	167923862	180870841	169657940	
"Germany"	9793006	11479066	13950825	13124375	14832546	16275367	13417478	14004848	15118910	16137388	16624070	15980400	
"United Kingdom"	5937997	7235861	8151430	8693599	9126733	10216479	10556863	11690650	9603189	11107336	11281350	11236969	
"United States of America"	3250109	3766034	4585849	5606487	6647525	6921399	6395899	6627394	8654268	8304672	8971874	10183213	
"Iraq"	5123406	6036362	8310130	10822144	12949891	13154131	8550298	7640287	9054612	8346276	10224285	9142515	
"Italy"	5889622	6507052	7854463	6373488	7474685	7486545	6887778	7583132	8473629	9560597	9754698	8082942	
"France"	6211415	6054499	6805821	6198536	6654651	6860107	5850226	6027992	6589874	7293603	7952702	7204647	
"Spain"	2818592	3536247	3917600	3717345	4554381	4977490	4742576	4993394	6302135	7708490	8141147	6684540	
"Netherlands"	2127297	2461371	3243080	3244429	3783681	3654059	3154911	3589553	3864486	4760826	5762607	5195418	
"Israel"	1522436	2080148	2391148	2329531	2810289	3063444	2698141	2956451	3407436	3894506	4464351	4704455	
"Russian Federation"	3189607	4628153	5992633	6680777	7213894	6170452	3588657	1733569	2734316	3399827	4153202	4506813	
"Romania"	2201936	2599380	2878760	2495427	2783798	3141513	2815548	2672005	3139188	3867122	4073769	3895656	
"Belgium"	1795682	1960441	2451030	2359575	2835446	3190514	2557805	2548729	3151422	3950970	3396818	3634855	
"Poland"	1322218	1504280	1758252	1853700	2137802	2484489	2329475	2651896	3070758	3346149	3449492	3474883	
"Egypt"	2599030	2250577	2759311	3679195	3336392	3442287	3124968	2733143	2360734	3053571	3510629	3136568	
"China"	1600296	2269175	2466316	2833255	3755649	2970633	2414790	2329371	2936262	2912539	2726571	2866389	
"United Arab Emirates"	2896572	3332885	3706654	8174607	5243566	4939732	4681278	5406224	9184157	3137048	3627165	2828394	
"Bulgaria"	1385544	1497384	1622777	1684989	2136157	2117335	1676112	2384116	2803182	2669703	2668830	2634706	
