Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	102142613	113883219	134906869	152461737	161480915	166504862	143844066	142606247	156992940	167923862	180870841	169657940	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	12251734	13812677	15803438	15148114	17597373	18788121	17462623	19804384	23940852	26758524	26901683	22098148	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	8132787	9413411	11560990	11999300	14253875	14969266	12333493	12405009	13825494	15827680	17763898	16797839	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	6630701	7530130	8874013	9373078	10638897	10870623	8278952	7778954	8089893	8722854	9749875	9307365	
72	"Iron and steel"	7641010	8740067	11225329	11332482	9785707	9118083	6556742	6187046	8230403	11546435	10020302	8803211	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	6925548	7731212	8385636	8418618	9362240	10127967	8927259	8855609	8840031	9043113	9206940	8387723	
39	"Plastics and articles thereof"	3093759	3716596	4580258	5012899	5769370	6277203	5358692	5027828	5474292	6042982	6805351	6971354	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	5929025	3747222	3738763	16325215	7002594	7721879	11263502	12176573	10879244	7172319	7332841	6693436	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	4294831	4636123	5124460	5431268	6045828	6601176	5916617	5928894	5947844	6262454	6873999	6600585	
73	"Articles of iron or steel"	4545275	4850216	5748004	6093117	6290220	6447763	5465543	4967680	5598990	6533980	6689776	6363349	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	3001898	3490879	3908880	3806416	4243759	4730483	4355444	3873872	3940007	3960605	4589918	4830425	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	3921300	4469479	6539030	7708169	10117704	7500274	4518438	3207084	4327175	4411992	8449156	4715233	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	1588862	1786405	2110174	2420661	2929315	3055601	2753346	2658941	2760343	3130600	3868865	3897049	
76	"Aluminium and articles thereof"	1399411	1916086	2285695	2251943	2383670	2636431	2370075	2238041	2512216	2995017	3116848	3060897	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	2164536	2509673	2465459	2480760	2738910	2556822	2252817	2191663	2572445	2616458	2784656	2801317	
40	"Rubber and articles thereof"	1468685	1895911	2593022	2424868	2535760	2670627	2165526	2203163	2494294	2822288	2905436	2656179	
57	"Carpets and other textile floor coverings"	1075386	1266828	1601798	1997286	2196705	2362678	2009356	1913135	2161753	2264274	2553899	2621045	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	1647817	1838582	2138565	1903514	2462588	2530247	1899404	1954767	2016726	2052497	2114705	2521487	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	1276305	1491356	1653520	1722134	1889699	2181170	2187068	1848571	1880096	1907840	2088314	2364552	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	678128	804479	1037190	1234702	1551287	1666164	1505559	1500914	1618271	1740265	1911098	2079037	
30	"Pharmaceutical products"	429061	558172	566797	661783	981587	1038515	878147	827082	875310	1172518	1430427	1826051	
