Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	140928421	185544332	240841676	236545141	260822803	251142429	207235628	198601934	233799651	223046879	210346890	219514373	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	29905305	38497229	54117539	60117407	57752649	56175583	37843295	27155187	37204849	43005619	41733277	28925039	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	2003646	3036955	7022384	8529039	16243515	8130798	4183470	7204353	17443552	12556742	13366642	26590853	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	17131962	21266830	27110683	26315986	31567364	29061369	25586708	27296283	27164479	25769824	22158719	25271976	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	12243100	14641851	16835117	16279708	18534283	18863590	17637684	20134976	21152440	16569507	15450119	17139594	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	8975864	13419356	17184080	14514293	17764626	16655565	17543566	17840604	17427897	13895044	10008035	15291564	
72	"Iron and steel"	11351640	16120796	20424235	19642041	18677999	17765157	14775094	12575455	16761929	18401452	15049697	15102954	
39	"Plastics and articles thereof"	6944490	9730432	12578501	12505398	14079608	14373292	12268261	11627786	13264846	12937362	11799994	11738222	
29	"Organic chemicals"	3341722	4400234	5504435	5064621	5515176	6088657	4715525	4359305	5387761	5973219	5965247	5888509	
30	"Pharmaceutical products"	4080491	4410051	4697445	3995652	4353048	4699801	4296440	4217109	4449096	4363425	4911311	4958182	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	2833287	3437706	4116482	4055515	4709948	4951684	4621134	4632094	4999037	4684058	4505158	4753667	
88	"Aircraft, spacecraft, and parts thereof"	1049721	3156117	3932966	3157690	2454807	3120452	3829966	4310417	2675592	2582741	3528230	3767943	
76	"Aluminium and articles thereof"	1602482	2487744	3258885	2984940	3345876	3679082	3333532	2865841	3469055	3872390	3636636	3407698	
10	"Cereals"	1202124	1056747	1931748	1514664	2024838	2579986	1664966	1150612	1693433	2025242	3523538	3281063	
