Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	140928421	185544332	240841676	236545141	260822803	251142429	207235628	198601934	233799651	223046879	210346890	219514373	
"China"	12676573	17180806	21693336	21295242	25260751	25732865	24873457	25440454	23370620	20719061	19127972	23040812	
"Germany"	14096963	17549112	22985567	21400614	25598452	23482150	21351883	21473789	21301869	20407294	19279082	21732800	
"Russian Federation"	19450086	21600641	23952914	26625286	26046541	25411700	20401756	15160961	19514094	21989574	23116867	17829236	
"Area Nes"	4820143	6703002	8788338	12589128	8267	2976	9781883	6738141	8239672	11038416	15148738	13685863	
"United States of America"	8575892	12322789	16042073	14130625	13350844	13465362	11141465	10867491	11951744	12377681	11847481	11525182	
"Italy"	7594949	10140671	13452359	13345874	13533284	12948320	10641582	10220724	11306054	10155669	9350999	9201429	
"Iraq"	120558	153476	86753	149328	161000	283128	296505	836298	1527573	1420433	2678193	8201655	
"Switzerland"	2001886	3155726	5021487	4307344	9800066	4997706	2449606	2506215	6903610	2818664	3377053	7771743	
"France"	7091795	8176600	9229558	8589896	8650205	8584304	7597687	7364555	8070897	7413025	6760052	6988092	
"Korea, Republic of"	3118214	4764057	6298483	5660093	6357876	7731590	7057423	6384206	6608874	6343174	5776952	5734339	
"United Arab Emirates"	667857	698421	1649456	3596545	5437605	3485288	2008690	3701152	5546921	3780736	4388996	5603801	
"United Kingdom"	3473433	4680611	5840380	5629455	6582729	6195865	5541277	5320624	6548620	7446107	5638293	5582391	
"Spain"	3776924	4840127	6196466	6023718	6624006	6293257	5588528	5678913	6372911	5492454	4446670	5039416	
"India"	1902607	3409938	6498651	5843638	6739652	7196350	5613570	5757156	6216639	7534783	6635225	4830121	
"Japan"	2781971	3297796	4263730	3601427	3753678	3481908	3140057	3943602	4281472	4124170	3647888	3742695	
"Belgium"	2371516	3213606	3959279	3690309	3983785	4017369	3146940	3200738	3728941	3571445	3229469	3716088	
"Netherlands"	2543073	3156000	4004955	3660634	3512108	3618175	2914731	3000195	3747619	3304581	3202977	3628593	
"Brazil"	1105890	1347525	2074354	1770094	1485005	1839058	1792241	1787944	2544928	3257706	2655109	3228353	
"Poland"	1817093	2620956	3496189	3058078	3387726	3252300	2977656	3244197	3445906	3101677	2603243	3005108	
"Romania"	2257963	3449195	3801297	3236425	3716898	3540608	2599758	2195672	2480196	2447471	2770909	2769255	
"Czech Republic"	1028650	1327672	1755452	2005342	2756896	2514898	2218335	2561650	2828107	2650330	2338360	2746268	
"Ukraine"	3156659	3832744	4812060	4394200	4607646	4295993	3448171	2547401	2817133	2645555	2725463	2590375	
"Bulgaria"	1116902	1702534	2474621	2753650	2810687	2924659	2254150	2139942	2773127	2501393	2384901	2124160	
"Malaysia"	960938	1124036	1567503	1278247	1352519	1286532	1339168	1996907	3138558	2132979	1847831	1990602	
"Sweden"	1890994	1922793	2284367	2135410	2096012	2071304	1585004	1478332	1776955	1730645	1578251	1763749	
"Egypt"	641552	926476	1382216	1342051	1718720	1535280	1215905	1443408	1997503	2190937	1903805	1722944	
"Saudi Arabia"	775784	1380601	2001529	2171043	1984240	2429327	2117220	1835230	2110161	2318411	2005217	1719668	
"Libya, State of"	357417	425652	139763	416152	306670	259010	195796	161021	247965	367010	483502	1674297	
"Israel"	1074727	1359639	2057314	1710401	2704627	3062733	1672501	1385595	1505113	1714355	1600986	1496260	
"Hungary"	987290	1382213	1494488	1184452	1280783	1236516	1305755	1301049	1513474	1394691	1308084	1470670	
"Austria"	1203634	1439448	1736366	1634272	1845346	1895579	1568026	1521240	1472591	1494570	1360987	1465021	
"Taipei, Chinese"	1342410	1843033	2025398	2058797	1954835	2091600	1944558	1597302	1986582	1635408	1283468	1443471	
"Viet Nam"	456660	751327	1009484	1213957	1688337	2078118	1756262	1735872	3048050	1844612	1574587	1368555	
"Greece"	1131065	1541600	2568826	3539869	4072881	4371046	1860935	1184782	1833068	2104900	1475001	1320976	
"Thailand"	957189	1280624	1592303	1311960	1494879	1422249	1209785	1482292	1983171	1372407	1140705	1210574	
"Iran, Islamic Republic of"	3405986	7645008	12461532	11964779	10545622	10076091	6096254	4699777	7492104	6931258	3608219	1192718	
"Indonesia"	1017888	1476659	1931717	1795778	2142499	2091867	1638245	1424722	1506817	1333898	1352296	1184801	
"Kazakhstan"	959455	1392528	1995115	2056086	1758429	1222772	1109832	1093897	1463158	1470257	1403956	1180549	
"Canada"	937365	915317	1311540	953717	1446937	1208970	929038	1062948	2166996	1980527	1631777	1078396	
"Colombia"	382984	296766	678255	814146	707442	812679	800824	945439	1610652	1888539	1438051	1013176	
"Finland"	795959	1115496	1296728	1114790	1310326	1188441	1011793	942114	938900	984048	911244	1009074	
"Slovakia"	814138	926722	893168	871459	1116243	942509	858634	951212	895136	767136	771584	978370	
"Uzbekistan"	413079	861373	939882	813287	853058	846432	711555	709292	823275	795545	1140193	969984	
"Portugal"	417988	503658	606557	644369	714201	815779	640306	658281	684344	654352	903201	960101	
"Ireland"	815650	873961	839241	845458	844194	921367	840352	824413	970307	889838	826110	916994	
"South Africa"	1103313	889635	1954586	1289821	1463591	1156682	918541	1058114	1744438	1381537	754214	887896	
"Denmark"	585094	678757	732781	720889	860366	1074490	806493	910557	808426	812854	963144	843891	
"Mexico"	335226	494608	699394	867154	1040446	1059804	860675	820919	771854	634225	742975	833480	
"Norway"	771741	828588	796292	916821	1042361	868905	657520	627523	840346	764975	775898	682064	
"Morocco"	234729	396798	419945	429482	579508	638135	710636	918164	924062	715715	713306	642097	
"Bangladesh"	523576	844661	895967	766376	880545	891469	995970	881039	737094	484484	508630	569883	
"Algeria"	768995	1068380	1150325	924934	711359	924505	740547	463775	766803	1138064	719267	567384	
"Argentina"	225821	281128	490574	367894	523496	476877	234495	382191	450272	357905	514803	557478	
"Lithuania"	81458	119165	148101	218347	354024	290260	244564	281307	492910	410412	304062	459100	
"Serbia"	66075	123130	223407	214631	268980	343218	246162	296744	422882	335683	446288	445909	
"Azerbaijan"	140599	252525	262263	339936	612678	482576	232376	278131	350870	378734	411022	410710	
"Australia"	619534	444884	747042	804439	1224853	555550	544815	607447	2200655	1082502	1034272	406721	
"Slovenia"	249577	291314	348936	311875	326366	322355	343784	296053	381447	316899	372143	390164	
"Georgia"	285486	290725	314352	180351	241236	275018	223107	211680	215276	233872	272350	348884	
"Oman"	16584	39464	56558	52849	165343	112306	60169	49087	95049	67441	226561	329577	
"Côte d'Ivoire"	90843	97215	138920	121289	138452	278219	274350	251303	300760	203259	183592	322638	
"Turkmenistan"	327559	386342	392712	303507	789020	764097	557356	422492	403553	260995	344774	319387	
"Qatar"	85652	177046	481018	466499	388242	407736	360978	271083	264126	335320	310668	301505	
"Singapore"	202473	210769	354254	222535	369901	354964	365286	363236	400178	352145	286385	299749	
"Chile"	200387	311709	474341	466042	421587	384090	282572	232972	265000	370584	250964	294600	
"Ghana"	102095	194358	292273	303476	176443	152234	168907	180478	128019	79300	102274	294085	
