Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	1056712100	1278099187	1481682200	1544932000	1577587300	1619742900	1503328350	1451459684	1547195403	1665688484	1642820352	1424934919	
"Canada"	204720827	249248666	281237169	292567767	300685611	312371471	280855169	266734465	282773830	299731712	292820258	255392345	
"Mexico"	128997663	163664583	198288689	215875039	226070227	240247090	236460137	230228834	243608975	265944976	256315828	211481021	
"China"	69575613	91910977	104121383	110516536	121721076	123675623	115873365	115594784	129997227	120289288	106448372	124485431	
"Japan"	51178320	60469046	65791777	69971995	65213790	66825973	62387810	63247049	67603375	75149289	74497004	63756412	
"United Kingdom"	45707871	48328089	56009021	54853629	47339021	53808147	56094706	55197491	56262428	66454485	69066568	58429779	
"Germany"	43220925	47994836	48939215	48372035	46862995	49028160	49978834	49568741	53965425	57757839	60069154	57432850	
"Korea, Republic of"	28639748	38820633	43461394	42282529	41686042	44470809	43483975	42262187	48356287	56310345	56504091	50965213	
"Netherlands"	32346735	37681975	43412845	40617368	42505242	43067033	40211652	39645357	41499803	48560472	50999792	45304856	
"Brazil"	26175324	35417484	43018839	43771024	44092977	42427834	31640538	30193264	37330688	39408580	42866313	34594964	
"Taipei, Chinese"	18432346	26049999	25929814	24336124	25470045	26670065	25826013	26033903	25735823	30479674	31204903	30219093	
"France"	27043697	27724343	28859448	31925500	33864704	32449632	31417313	32637764	34220254	37625953	38414204	28205524	
"Belgium"	21629705	25457983	29990461	29434612	31920917	34771811	34173801	32099636	29923316	31409587	34728200	27568079	
"India"	16462437	19248887	21542181	22105715	21811337	21607499	21452909	21647178	25647818	33191061	34221377	27080305	
"Singapore"	22278009	29008535	31261590	30499151	30621735	30204822	28480840	26815585	29649147	32881161	31193684	26929230	
"Hong Kong, China"	21117126	26566570	36375363	37437333	42321051	40822125	37182747	34895360	39854770	37310821	30788099	23848948	
"Australia"	19604111	21808100	27623034	31145607	26110918	26494856	25033316	22145065	24519387	25333736	25867258	23381674	
"Italy"	12247849	14226944	16041699	16102399	16757922	16973822	16219726	16728929	18395431	22845460	23707239	19887105	
"Switzerland"	17478819	20711347	24480073	26363312	26493077	22133642	22189716	22821660	21723642	22221553	17975604	18105632	
"United Arab Emirates"	12106581	11660748	15913667	22552553	24446087	22061768	23001078	22384471	20078561	19497127	19974298	14721419	
"Spain"	8750695	10355446	11031475	9551879	10243776	10200239	10310081	10401218	11070994	13064269	15340702	12856239	
"Chile"	9365333	10906675	15993031	18773079	17517675	16512735	15448915	12936511	13632844	15312340	15709110	12482959	
"Malaysia"	10401451	14079148	14263433	12814764	13003614	13067717	12277706	11774179	12871803	12951984	13187775	12295586	
"Colombia"	9457772	12067662	14335692	16356797	18369302	20106598	16302185	13047286	13373918	15113876	14750447	11913533	
"Thailand"	6920200	8976296	10929767	10887757	11797150	11809675	11228763	10501044	11033497	12520515	13303146	11276515	
"Saudi Arabia"	10803684	11505551	13923665	17961238	18960148	18704865	19791575	17993678	16355446	13597010	14482987	11109264	
"Israel"	9567807	11295014	13961616	14273473	13742185	15081785	13539212	13199442	12547573	13709277	14402554	10188223	
"Turkey"	7088987	10538482	14695214	12474727	12073352	11645441	9519510	9354232	9772449	10254045	10031193	9986225	
"Viet Nam"	3107586	3705549	4315220	4622883	5036143	5734357	7100572	10098439	8134093	9675575	10821544	9912050	
"Ireland"	7516394	7274602	7655739	7391887	6631969	7805934	8930614	9565391	10707688	10744480	9052318	9575272	
"Philippines"	5772849	7376713	7727871	8087356	8403503	8453324	7903090	8193676	8450627	8716048	8641029	7738751	
"Peru"	4925182	6749503	8341848	9348621	10119124	10053610	8723969	7926941	8674699	9694724	9658321	7575959	
"Dominican Republic"	5269883	6579217	7325686	6967115	7155518	7922141	7114647	7750713	7851737	8953254	9205018	7514606	
"Indonesia"	5106426	6947847	7421406	7997976	9096785	8284067	7118133	6024281	6863641	8170937	7731259	7395649	
"Argentina"	5559717	7386784	9892037	10258027	10348310	10825715	9361857	8526706	9603661	9907686	8145478	5914992	
"Guatemala"	3900714	4476841	6151170	5748945	5552497	5963671	5821086	5834843	6863758	6639004	6799877	5835297	
"Costa Rica"	4704373	5178268	6099237	7236638	7223400	6964076	6044943	5864709	6145854	6470151	6217845	5689743	
"Panama"	4357705	6064986	8246942	9822506	10557240	10462658	7668880	6069072	6289883	6733398	7536459	5659952	
"Poland"	2304441	2982766	3142733	3346207	3778086	3650163	3715464	3644370	4523433	5358072	5955364	4955495	
"Russian Federation"	5382808	5993665	8318439	10695291	11144526	10752773	7086515	5831103	7002917	6658002	5784559	4886853	
"Sweden"	4563588	4736984	5259594	5247918	4318268	4337879	3939002	3804733	3734519	4471113	4367183	4770965	
"Egypt"	5257586	6832542	6228229	5498320	5175346	6472585	4758797	3485904	3990353	5052375	5498014	4663396	
"South Africa"	4460552	5631634	7271228	7552736	7293060	6368196	5457293	4599958	5050645	5530839	5367159	4374151	
"Honduras"	3384032	4606444	6166366	5714670	5373025	5960551	5216351	4827613	5068358	5593598	5419480	4202536	
"Ecuador"	3923963	5409017	6059785	6690073	7648703	8129379	5818404	4163586	4831879	5902963	5569457	4132909	
"Austria"	2466033	2335947	2779878	3365118	3477687	3793502	4024271	3795692	4274565	3563919	5708822	3429524	
"Qatar"	2720183	3159770	2806682	3577715	4958347	5173424	4222428	4926697	3123876	4428220	6456797	3410729	
"New Zealand"	2159433	2819063	3506792	3125315	3220332	4255675	3630673	3575016	3923286	4060168	3946988	3195463	
"Czech Republic"	969740	1409644	1684361	1832280	1943336	2302337	1977042	1965881	2272004	3003282	2790557	2972744	
"Denmark"	2058490	2132447	2247928	2224433	2231000	2360681	2202791	2238325	2210898	2608052	3194568	2941014	
"Pakistan"	1624888	1901072	1988748	1530065	1645795	1512132	1837957	2107772	2808081	2852148	2648163	2911769	
"Bahamas"	2455313	3177977	3441973	3479067	3450323	3324418	2386947	2096790	3063604	3020573	3357786	2804911	
"Nigeria"	3658008	4060548	4904789	5029335	6388833	5967789	3431360	1894688	2173817	2687381	3198077	2802207	
"Norway"	2752927	3107404	3628450	3501180	4618055	4423773	3570794	3919971	5453066	5427066	3897008	2781597	
