Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	1601895800	1968259901	2263619100	2334677700	2326590200	2410855500	2315889217	2249113117	2406075845	2609126878	2563536173	2406931650	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	207524194	255407350	294378904	315095389	311300329	331205458	330271770	315350475	348572807	384981508	377872961	361173660	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	217770988	262956516	283319355	296413164	303213067	319671075	333456191	335582652	355992790	366231793	351073776	343401025	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	133354532	185981678	206182707	244174855	253081966	265323956	284393481	284712023	294222029	306129608	309650401	254386528	
30	"Pharmaceutical products"	55904583	61975885	66150067	65004006	63313660	73042299	86033116	92512013	96878977	115524732	128134846	139430771	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	279146203	364169509	462775842	432713698	389365180	358259447	200765686	163138185	204023251	241666711	209785222	130630108	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	37191801	52859464	67032353	62822893	64465513	64072251	60292751	67280606	59864415	60765216	58059743	106986724	
99	"Commodities not elsewhere specified"	55301867	56113571	60460054	66834557	70889599	74105015	85143943	86398617	90973753	101560675	113602706	102479372	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	50803943	59793862	67081200	69799847	72111007	76226166	78543473	80548282	85994600	93313384	96566965	90552472	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	32472699	41278015	43058201	47855696	51335977	55782891	61204082	63153427	66944790	71856672	66842480	65457994	
39	"Plastics and articles thereof"	29906968	36909554	41407087	44249296	46376567	50128863	50373200	50376130	54713764	61719974	60355031	62342457	
29	"Organic chemicals"	45810683	48869923	57130766	54537754	54538159	54711121	52067186	49783079	46095545	54590299	54748556	56420109	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	34668152	39949253	43285857	42598146	44423860	46627468	48514242	45417624	45745754	47681654	48160270	38254141	
95	"Toys, games and sports requisites; parts and accessories thereof"	28277723	31168652	29019702	28315060	27923982	28882918	31287861	30456454	32705633	34377085	33960781	36344231	
73	"Articles of iron or steel"	25569371	28272508	33880172	39709307	36250209	39706132	38749491	33605579	39107778	43146053	40887369	35987330	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	32127205	35696560	38246891	38089455	39319973	39099513	40574266	38551531	37804711	39014939	39224194	32911543	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	9908282	11856454	12464556	12712647	13405321	13901702	14883555	14603419	15338411	16137772	16743414	31248825	
40	"Rubber and articles thereof"	16255988	22948120	29248048	29862326	28699419	29053980	27904596	26164158	27894996	29924958	30007725	28493182	
88	"Aircraft, spacecraft, and parts thereof"	18465618	18911013	21633822	24411528	29585078	34469899	35344231	31042720	30918270	31919729	35446639	28376752	
22	"Beverages, spirits and vinegar"	15476651	16502697	18692822	20748026	21130293	21206260	22202550	23291688	24674840	26070463	27514235	26885144	
44	"Wood and articles of wood; wood charcoal"	10501017	12193618	11982385	13720213	16103856	17434640	18005954	19517700	21096360	22574631	19204648	22578485	
64	"Footwear, gaiters and the like; parts of such articles"	18245270	21928568	23651479	24863320	25776428	27044539	28725306	26550453	26605936	27536020	28170640	21503889	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	8933831	10005583	10918610	11378334	12472835	13969901	15427934	16716509	18097721	18911060	19546626	19473401	
76	"Aluminium and articles thereof"	12003361	14721255	16206445	15969678	15678772	17114460	17866316	18732153	23377819	24218718	22238106	19044666	
72	"Iron and steel"	13052702	22516681	29666949	30452428	26732093	36000222	27867709	22460117	28812147	31036005	24483024	18799947	
38	"Miscellaneous chemical products"	7593671	9057387	11094768	11477673	12382801	12661231	13190838	13835878	13825020	15298503	14962800	18473882	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	10639903	11827209	13351400	13349819	14689190	16689405	15482352	16366242	17901364	18517128	18498917	17534600	
