Exporters	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	12344059790	15094126364	18143794157	18398350145	18855391109	18858412093	16412910145	15925700112	17562797123	19325994809	18736223963	17271017748	
"China"	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2281855922	2118980582	2271796142	2494230195	2498569866	2590607686	
"United States of America"	1056712100	1278099187	1481682200	1544932000	1577587300	1619742900	1503328350	1451459684	1547195403	1665688484	1642820352	1424934919	
"Germany"	1125844048	1267743109	1483802558	1410146321	1450937515	1498238432	1323665116	1332489067	1444776367	1556622939	1486877250	1378030840	
"Japan"	580718734	769773832	823183759	798620023	715097244	690217466	625005915	645589410	698021623	738164252	705842013	640953137	
"Netherlands"	431502452	492645872	569357971	552501891	575111979	575677265	464697216	468176328	527907822	587893084	576784455	551820270	
"Hong Kong, China"	329421935	400692015	455573380	492907472	535186743	524064899	510552779	516588131	549861455	569105740	535711019	551515756	
"Korea, Republic of"	363531063	466380620	555208898	547854448	559648708	573091134	526900733	495465606	573716618	605169190	542333337	512788606	
"Italy"	406479127	446839830	523256296	501528851	518095103	529528733	456988626	461667625	507430236	549906996	537748429	495976960	
"France"	464112811	511651043	585723824	558460545	567987698	569409762	495442074	490433897	524180934	569764876	556550374	476082181	
"Belgium"	370970847	407357556	478525231	446557259	466846143	472121555	396919286	398345784	429799692	468629855	446876870	419478288	
"Mexico"	229712337	298305075	349326582	370706658	379949273	396890473	380789105	373904303	409476446	450920374	460703804	418140902	
"United Kingdom"	359615540	422014118	517288693	481225754	548041853	511145443	466295683	411463356	441847324	490840364	468322416	395692087	
"Canada"	315176831	386579900	450430008	454098967	456598271	475177176	410688692	390195631	421161325	450790344	446562311	389850223	
"Singapore"	271079918	353240365	416289216	415615110	419931654	415418247	346641061	329854222	373055543	412077471	390386234	373909153	
"Taipei, Chinese"	203035224	274563932	307585242	300887781	304571708	313159754	279943715	279020548	315734179	334244241	329512433	346633936	
"Russian Federation"	301796059	397067521	516992618	524766421	527265919	497833529	333501801	285491052	357083135	449347157	422777167	337105352	
"Switzerland"	172702655	195609280	234819262	312282673	357909510	311145884	290408721	302890960	299507520	310742992	314145207	318985767	
"Spain"	223097751	247565706	299207388	290680282	313106420	319651825	276958512	283761066	311600619	346064315	337215114	312080513	
"Viet Nam"	57096274	72236665	96905674	114529171	132032854	150217139	162016742	176580787	215118607	243698698	264610323	281441457	
"India"	176765036	220408496	301483250	289564769	336611389	317544642	263889005	260963959	295862157	323997680	323250726	275488745	
"Australia"	153899576	212108726	269423385	262678467	256678556	252680285	191320123	189389234	229722178	254525413	272579608	254531426	
"Poland"	136641305	157064948	188105090	179603599	203847918	214476794	194461157	196455270	221307621	261815269	251864773	254169032	
"Malaysia"	157194832	198790691	226992682	227449500	228316107	234134977	200890906	189863395	217715510	247489373	238161125	233553703	
"Thailand"	152497203	195311520	228823973	229544513	228527440	227572764	211178474	213558947	235871371	249921314	245380465	229277734	
"Brazil"	151791674	200433953	253665437	239952538	232543660	220920757	191134325	185235401	217739177	239889210	223998669	209180242	
"Czech Republic"	112884321	132140914	162391721	156422743	161524152	174279452	157194123	162087332	182231361	202521578	199469710	192304896	
"Ireland"	116894674	120645180	129657903	120208958	118447212	123071289	124730515	132009760	138072213	167017888	170743383	184130806	
"Saudi Arabia"	191810273	250577016	364139419	387373983	375360918	341947183	213376375	178874135	220068596	294535553	251800458	176507506	
"Turkey"	102142613	113883219	134906869	152461737	161480915	166504862	143844066	142606247	156992940	167923862	180870841	169657940	
"Indonesia"	116509992	157779103	203496619	190031839	182551754	176036194	150282258	144494206	168810637	180215036	167682996	163306490	
"Austria"	131387248	144882002	169511433	158820719	166273910	169712859	145275530	144700690	159970531	176991971	171532055	162145129	
"Sweden"	131116175	158410622	186898110	172437657	167493222	164677597	140006471	139273334	152902202	165959033	160567911	155607847	
"United Arab Emirates"				350123000	371217682	343043070	300478648	295046691	313547597	321006905	315942728	154797163	
"Hungary"	82571847	94748737	111216834	102829804	108014637	112536244	100296847	103009508	113382077	123957885	122180658	119970720	
"Denmark"	92090687	96216730	112713339	106104022	110469532	110748921	94618817	94729013	101434431	108523102	109991555	107224300	
"Slovakia"	55553022	65306124	78970052	79953452	85189617	85767258	74969507	76997192	83475386	93403168	89909085	87104452	
"South Africa"	53863892	82630650	107956344	98824504	95062895	92590712	81791370	76586727	89555817	95179154	90419473	85686133	
"Norway"	114675480	130656792	160409821	160952207	155350553	144611290	105365688	89504910	102072155	123054756	102793716	82429462	
"Romania"	40620890	49413386	62692001	57904330	65881442	69877891	60605048	63581004	70626887	80077606	77298748	71046399	
"Chile"	55458960	71106106	81437589	78062995	76769729	75083497	62042350	57737906	65882717	75404118	69145962	67557693	
"Finland"	62860483	70116501	78794218	72974489	74445386	74338834	59682311	57325872	67280641	75258290	72839176	65599590	
"Philippines"	38435802	51497515	48042129	51995224	56697803	61809755	58648378	56312889	63233344	67487925	70334023	63879430	
"Iraq"						84506037	54659355	49512742	69304930	97484148	91224183	63280245	
"Portugal"	44249980	49414051	59588302	58140500	62794139	63834386	55045026	55371549	62116841	74135906	67064074	61491411	
"Argentina"	55672119	68174447	82981091	79982380	75962981	68404347	56752410	57733363	58133543	61781529	65115327	54821594	
"Qatar"	48007107	74964415	114448021	132984792	136855146	131395763	77971079		67498106	84904617	72934956	51504158	
"Israel"	47934614	58413028	67796328	63140635	66781207	68965008	64063442	60570596	60899506	61951550	58448249	50151256	
"Ukraine"	39695648	51430286	68393034	68694495	63320469	53913302	38127040	36361032	43428391	47334680	49853049	49388093	
"Kazakhstan"	43195762	57244064	88107934	92281521	84698536	79458749	45955777	36775606	48342145	60956233	57722942	46949697	
"Bangladesh"	15558634	19230983	24313744	24513501	24537341		31734162	38603584	40965538	45552453	47632799	42392465	
"Kuwait"	51959754	62698237	102695762	114536221	114124843	101131955	55161618	46242450	54985137	71941445	64482097	40149524	
"Peru"	26738260	35807438	46386022	46366536	42568899	38645855	33246845	36039994	44237949	47223269	45135222	38757234	
"Slovenia"	22405415	24434752	28984136	27080022	28628740	30522102	26586979	27657728	31893790	36471279	37574594	37471094	
"New Zealand"	24932601	31392978	47700296	37304685	39443066	41619848	34297532	33759172	37016410	38434847	38183311	37468046	
"Greece"	24236625	27585696	33377039	35151146	36261644	35755371	28289237	27810925	32154816	39490521	37885527	35070462	
"Nigeria"	49937460	86567913	125641031	143151183	89450809	98773957	48465647	34764915	41010138	52920065	53624701	33361475	
"Lithuania"	16496339	20813923	28068648	29652662	32599743	32394296	25411022	25022652	29349549	33334577	33150772	32837539	
"Oman"	27650631	36599577	47091873	52138226	55497131	53220765	31926531	30013600	32904047	41760976	42022781	32151778	
"Bulgaria"	16502520	20608005	28165220	26698780	29510574	29386540	25778746	26582417	31371444	33667653	33351426	31872938	
"Colombia"	32852986	39819529	56953516	60273618	58821870	54794812	35690767	31095444	37770123	41769699	39496225	31045676	
"Belarus"	21304173	25283462	41418672	46059935	37203035	36080537	26660395	23537355	29239994	33726141	32955122	29179441	
"Morocco"	14068940	17764791	21649934	21417184	21967951	23815816	22197567	22850021	25619900	29317739	29592492	27704922	
"Egypt"	24182270	26331836	31582439	29417006	28779409	26812196	21852048	22973369	26434038	29483042	30632553	26815145	
"Angola"	40639412	52612115	66427390	70863076	67712527	58672369	44731531	28057501	34815223	42021981	34819241	22653581	
"Pakistan"	17554698	21413103	25343769	24613676	25120883	24722182	22089018	20533793	21911598	23778621	23818817	22237163	
"Algeria"	45193920	57050974	73436306	71865749	65998138	60387689	34795951	29992101	35191117	43075116	36767788	21454344	
"Ecuador"	13863050	17489922	22342524	23852017	24957644	25724432	18330608	16797667	19092352	21627978	22329379	20226568	
"Serbia"	8345076	9794516	11779478	11229031	14610779	14843348	13361043	14832645	16946130	19157001	19557555	19384734	
"Cambodia"	4992010	5590104	6704137	5796274	6665903	6846019	8542434	9982663	11268954	12707908	14824722	17716469	
"Croatia"	10491835	11810676	13364022	12368983	12741618	13843900	12843529	13647534	15732485	17210469	17063050	16965387	
"Estonia"	10445840	12811364	18139131	18161224	18284136	17465560	13907610	13967429	15387735	17851478	16817428	16946992	
"Myanmar"		8873436	8127869	9053439	11436328	11451861	11431792	11672717	13878764	16694858	18105886	16929247	
"Latvia"	7171470	8850801	11988196	12685522	13324705	13782782	11649940	11607295	13189947	15065000	14447102	15181997	
"Congo, Democratic Republic of the"							8685052	7192847	12295708	20004285	13382299	14122147	
"Tunisia"	14445136	16426570	17846965	17007446	17060465	16759748	14073488	13575131	14199816	15521229	14944087	14071319	
"Azerbaijan"	14688728	21278420	26480189	23827186	23904108	21751737	12646294	13380819	15306018	19489068	19635203	13740568	
