Product code	Product label	imported value in 2009, US Dollar thousand	imported value in 2010, US Dollar thousand	imported value in 2011, US Dollar thousand	imported value in 2012, US Dollar thousand	imported value in 2013, US Dollar thousand	imported value in 2014, US Dollar thousand	imported value in 2015, US Dollar thousand	imported value in 2016, US Dollar thousand	imported value in 2017, US Dollar thousand	imported value in 2018, US Dollar thousand	imported value in 2019, US Dollar thousand	imported value in 2020, US Dollar thousand	
TOTAL	"All products"	12630542396	15338445302	18371606290	18522078580	18866531073	18926026108	16566800341	16068777562	17785831105	19662461602	19080085436	17551465827	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	1732482689	2145585520	2337909692	2361749126	2462949713	2525785668	2472873133	2470978197	2746777999	2975848721	2907277327	2943536612	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	1551000032	1837117623	2115996086	2122820543	2107514606	2160601065	1983127301	1941249501	2125758544	2336270382	2290542817	2148820368	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1854177705	2409182712	3299636049	3426013819	3323243875	3107442740	1922452482	1563353795	2041382873	2619069344	2363297667	1593451923	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	859997623	1077782703	1264480910	1300462706	1336228533	1393545798	1323458236	1353023784	1457250808	1545389576	1526691274	1277886864	
30	"Pharmaceutical products"	425517202	450274175	482239637	484664901	499080005	530327052	511769638	530925800	564712311	623754852	656728658	711552796	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	315173630	414148367	576747522	698567383	735056701	624031728	535785463	586071941	604858307	629000970	657548956	691298729	
39	"Plastics and articles thereof"	399681170	498886292	578441889	569815103	597435977	621891964	560435075	553238159	610661848	671097812	639722428	609263387	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	389642848	463275452	520936859	537192625	547566576	558951967	533229697	533793660	572565713	614287667	618563765	602741149	
29	"Organic chemicals"	331239188	397224534	480587436	469733335	475288502	464763733	398954154	374809935	415157216	484925002	446535867	413638118	
72	"Iron and steel"	293024244	394371062	484958142	439562073	404433560	422343867	345115756	310675473	384840614	441239303	389414308	335583830	
99	"Commodities not elsewhere specified"	219575997	258979216	304108988	304829785	434220017	429500131	420366151	398346130	341828781	345986941	326814003	281102707	
26	"Ores, slag and ash"	141062975	226474285	301117448	268631349	277792508	257353368	184414923	171480811	230388112	248287941	271005887	280690861	
73	"Articles of iron or steel"	239008624	254824352	300896898	311067553	312740815	326534907	286128709	264975945	290137437	321266011	310852438	275333910	
38	"Miscellaneous chemical products"	133271502	157577426	191424376	186600783	190625645	197267636	177996752	179156597	199152519	219900295	216093536	235440452	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	148470567	171297102	189850055	194936057	204354743	219624781	214563990	218608850	232835555	248706687	243463792	232091010	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	162504604	172700689	200400379	191962631	198237966	205783306	197230626	192656809	198716447	213080866	213175218	189228895	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	153781131	169562138	192954834	183248404	192330800	202127959	192762751	190707472	200582596	215039329	215992038	187990669	
40	"Rubber and articles thereof"	128707082	174054550	230413270	218004960	211273238	201807131	176008968	170216847	193499688	200453855	193453189	180619109	
76	"Aluminium and articles thereof"	110712376	143456642	172678581	157894223	158359316	168930393	159997331	151334915	174369401	196185946	177632816	162698799	
88	"Aircraft, spacecraft, and parts thereof"	169262754	185161953	195579709	221219927	235304749	254970575	243526392	247105862	233463801	243455758	238235081	161768214	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	156851724	173228336	192330371	172893180	174627433	177733171	157899030	155856013	164421326	179287023	170247611	157613662	
74	"Copper and articles thereof"	103724132	158190835	191345922	180589940	171925584	163746464	137565054	124097420	151423098	169943940	152902486	152035231	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	77681668	86248318	97631737	101753706	109065076	113985951	110283721	116026827	128107253	144673708	149651790	145771743	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	76821909	83692411	95255391	98182868	107677050	112934197	113640136	117293325	126882424	134316809	136635492	139775027	
44	"Wood and articles of wood; wood charcoal"	94954198	112617855	128316566	125945339	136404479	146946827	130913270	131809182	142775195	156250900	142678510	137929508	
02	"Meat and edible meat offal"	86685511	93336235	111304743	112698646	117549756	123710683	110343019	109892055	117961985	124342281	131681724	135305055	
10	"Cereals"	85876497	91069318	126024783	129407678	129221407	130620240	113804888	104620254	110391083	121301355	118645492	124699697	
64	"Footwear, gaiters and the like; parts of such articles"	88129307	102309655	116946156	117211503	123369156	130782255	126820432	126281459	134938060	144059342	147263888	124515134	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	40920742	45371551	52151785	50656243	52924036	56113038	53834961	53626115	56878440	60539595	61704816	123539883	
95	"Toys, games and sports requisites; parts and accessories thereof"	108014792	110264010	112809112	107122781	104138635	109296212	105370994	104988243	118456011	124609150	121027723	120954850	
22	"Beverages, spirits and vinegar"	82026626	87175116	104164352	107013127	110918625	111140130	104203898	106820593	115168164	124313466	125286411	119995324	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	97804865	121211739	149909160	140427807	132407497	130922443	119627863	108136201	122323925	140735022	130896647	117301752	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	63860349	73726268	89719644	99007709	105420461	109785893	95901579	94579786	104795232	109200095	104488128	114128966	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	76408749	85601550	100782102	98012011	102096327	109049988	98241102	105952400	114788893	124305150	124972928	113286408	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	68097124	80446205	112804811	110812761	102916294	99035202	89756084	89593163	101513631	98007940	93208437	103881389	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	59284847	68598788	83116206	81801042	92675000	98679566	78397100	74970048	87931732	92323542	91077639	90543548	
21	"Miscellaneous edible preparations"	47244988	50293409	58030613	59840758	64897519	66369608	63045722	65376448	69060668	78170581	80601570	84516764	
23	"Residues and waste from the food industries; prepared animal fodder"	54613439	60210520	69156617	77034580	84215886	87012551	76255000	71370203	74144393	83038186	81383382	84472092	
