Product code	Product label	exported value in 2009, US Dollar thousand	exported value in 2010, US Dollar thousand	exported value in 2011, US Dollar thousand	exported value in 2012, US Dollar thousand	exported value in 2013, US Dollar thousand	exported value in 2014, US Dollar thousand	exported value in 2015, US Dollar thousand	exported value in 2016, US Dollar thousand	exported value in 2017, US Dollar thousand	exported value in 2018, US Dollar thousand	exported value in 2019, US Dollar thousand	exported value in 2020, US Dollar thousand	
TOTAL	"All products"	12344059790	15094126364	18143794157	18398350145	18855391109	18858412093	16412910145	15925700112	17562797123	19325994809	18736223963	17271017748	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	1607008720	1963203959	2132995826	2164295338	2281638669	2351530325	2305829564	2284591555	2525183155	2747512426	2702703491	2748708005	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	1512105565	1795116348	2061023334	2063007731	2070278337	2130609244	1918922432	1872789897	2066374430	2275941962	2214955653	2080354177	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1768941104	2351547813	3264729441	3393173181	3278021414	3026402165	1803277319	1506396312	1948122951	2502886271	2055363721	1510478458	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	849416522	1085431826	1274897936	1307967766	1346638524	1396139704	1321659036	1345456941	1446509825	1534115085	1501133569	1269355508	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	327428902	440154554	643286883	785726600	892433551	718815704	635305134	654168583	656537407	646250988	649743536	692315662	
30	"Pharmaceutical products"	420977892	442357622	470002667	469866298	483847320	512945281	491246274	499937644	528508604	588836218	618443810	678810612	
39	"Plastics and articles thereof"	391322228	483087405	564762193	562676970	591514848	613664547	549318548	543579704	596838184	655392856	624807172	606990075	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	395862339	476112922	530819205	553293033	561118317	573777817	540245551	535430669	580197723	615039400	612377838	589515634	
29	"Organic chemicals"	307093840	369907863	444036582	442347765	442792939	432250035	365395328	346234993	381371302	445353406	412672418	385318704	
72	"Iron and steel"	278141641	387638007	476986612	425852449	394694426	411948518	326653963	301865409	372925572	422352430	370539613	325545923	
99	"Commodities not elsewhere specified"	259156849	310458083	318791735	325943549	395715230	421490097	425332936	424759888	396005030	413246956	584319382	310495162	
73	"Articles of iron or steel"	226854928	246234920	300928013	306148109	310666085	317678920	280693432	260177155	284071007	314509112	307385079	282583302	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	145615005	166689833	191001648	209777629	227198911	242513216	237949953	233209765	240940799	257934172	261377072	262952762	
26	"Ores, slag and ash"	116411503	193797314	257938372	232121435	244479653	228071298	156849921	155233639	200274543	214639619	239869777	253589440	
38	"Miscellaneous chemical products"	128145504	152335597	183146533	178247546	183803277	192100984	170238704	172076843	189476096	211628959	208611487	223835644	
88	"Aircraft, spacecraft, and parts thereof"	211931765	222945818	252678092	288680861	315172497	324701777	330104399	335352954	329977740	337311031	336122393	215147128	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	159167345	179020656	209174529	211197367	229553300	237950527	218523948	215499031	223477675	238674379	238584877	213124427	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	157216218	168773968	198218484	193116680	207744304	232511229	217982634	215650767	224363405	235369036	234104229	206521293	
40	"Rubber and articles thereof"	124759757	168996800	231098346	220565273	206328226	192680243	166907652	162772908	185925330	192552770	185889907	175963433	
76	"Aluminium and articles thereof"	112852226	144991869	173850154	157884798	162038893	172485935	162778299	155705296	172439240	192530840	175964954	166294902	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	152528068	169603041	189429799	167118054	171848871	174075010	156573957	153806087	161728136	177124473	170227198	157988098	
74	"Copper and articles thereof"	106438690	158568425	185041857	171865729	163433309	154216452	130169511	117933266	145748608	162021977	146269521	148853590	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	79226700	89466998	102829904	105200326	111993523	116779685	111174493	116833360	130068212	146960652	151293170	141564712	
02	"Meat and edible meat offal"	88106966	96906835	117805709	117064545	123735796	131362696	113878906	113215646	123850040	128298784	135441851	134314177	
