Importers	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	12630542396	15338445302	18371606290	18522078580	18866531073	18926026108	16566800341	16068777562	17785831105	19662461602	19080085436	17551465827	
"United States of America"	1601895800	1968259901	2263619100	2334677700	2326590200	2410855500	2315889217	2249113117	2406075845	2609126878	2563536173	2406931650	
"China"	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1681670816	1588695867	1840957060	2134987265	2068950255	2055590612	
"Germany"	928891172	1060672352	1261588484	1161247824	1187301533	1214915242	1053388444	1056664804	1164586085	1286008402	1236217435	1171580759	
"Japan"	551984751	694059160	855380474	886031094	833166061	812184752	648436326	608071912	672100069	749092205	720964445	634678167	
"United Kingdom"	552042035	627617523	717606233	689137011	657222528	694344323	630251058	636367936	640907689	671694258	692494170	634174870	
"Hong Kong, China"	352240745	441369198	510854738	553486469	621416868	600613066	559305500	547124448	589317440	627327031	578590151	573061310	
"France"	540502283	599171506	713675254	666675231	671253553	667601846	563204454	559429399	610231098	666157927	643953084	569325016	
"Netherlands"	382190422	439986633	507677196	500607516	513062603	508158047	412644304	408052966	461902679	521035628	514857688	485489156	
"Korea, Republic of"	323081675	425208007	524405224	519575597	515560844	525563837	436547721	406059974	478413948	535172391	503259397	467540264	
"Italy"	414783638	486984372	558831982	489104116	479336353	474082559	410933398	406670670	453583034	503581134	474957328	422648102	
"Canada"	321227568	392108702	450579509	462366181	461785073	463088977	420159798	402638900	432857718	460109333	453157225	404275453	
"Belgium"	353667131	393450957	466264500	436933674	449014195	453701093	375661116	379391797	409464298	455053174	427766455	395854450	
"Mexico"	234384532	301481734	350842806	370751407	381210149	399984248	395232368	387064500	420369150	464276595	455289486	383305535	
"India"	266401553	350029387	462402791	488976378	466045567	459369464	390799463	356686417	443852795	509273228	478883729	367980363	
"Spain"	287479842	318163804	366058447	331680210	335251392	352758967	304708111	302931265	341421161	391056705	375485170	329738801	
"Singapore"	247216197	313071074	372640257	385832692	388046699	377937643	296773959	283045050	327492650	370940515	359008256	328822696	
"Switzerland"	155572597	176280626	208219898	295071061	321053934	275053993	253547999	270135316	269726453	279244339	277207598	291035118	
"Taipei, Chinese"	174457882	252079969	281809545	271518081	270128149	273647330	228407580	229052733	257510859	285050277	285906281	287171262	
"Viet Nam"	69948810	84838553	106749854	113780431	132032531	147839048	165775858	174978350	213215299	236868823	253442016	261309452	
"Poland"	149569836	174127590	209191546	191430112	205613793	216687292	189696474	188517819	217978576	267699887	246653880	254660433	
"Russian Federation"	170826590	228911658	306091490	316192918	314945095	286648777	177292663	182261656	226966395	238151375	243780553	231667985	
"Turkey"	140928421	185544332	240841676	236545141	260822803	251142429	207235628	198601934	233799651	223046879	210346890	219514373	
"Thailand"	133769639	182393380	228483302	247575852	250708238	227931507	202062328	195702347	224999327	251099199	240139196	208615061	
"Australia"	165601136	201703334	234205823	251217222	234065772	228857928	201212236	189223659	221108910	227703770	214273705	202277035	
"Malaysia"	123575279	164586273	187573009	196196619	205813525	208823429	176603461	168780403	195080585	217664499	204988314	189559672	
"Czech Republic"	104849536	125690658	150813416	139726824	142525808	153225461	140716186	142327656	162898932	184924023	179273065	170677595	
"United Arab Emirates"				261022920	294955904	298608729	287024695	270779149	273710850	261510757	267937296	168289203	
"Austria"	136418429	150592664	182349824	169657276	173366038	172446638	147927653	149987386	166475081	184195201	176596131	164635579	
"Brazil"	135377600	193184262	238706132	235404476	252281705	240763370	171449051	137552003	150749453	181230569	177341225	158786825	
"Sweden"	119948707	148788239	176944638	164544938	160587347	162258343	137987267	140983635	154195426	170591780	158959381	149792259	
"Indonesia"	96829163	135663280	177435550	191690908	186628631	178179340	142694804	135652914	156925150	188711246	171275737	141622127	
"Saudi Arabia"	92457155	103621530	127962727	151260013	163013499	168239638	169967750	129795972	126758508	135211178	144334893	131328602	
"Hungary"	77272443	87432095	101369997	94300665	99295902	104178438	90760851	92209667	104283799	117381593	117324011	113422659	
"Ireland"	62566426	64600595	73781587	72218452	74089275	82595131	77795266	82028942	88828357	106931073	101473370	98388912	
"Denmark"	80096730	82724280	96008493	91325522	97251543	99567828	85327361	84427761	92117788	101663501	97209694	96791228	
"Romania"	54256269	62006624	76365285	70259719	73452192	77889071	69857682	74604617	85318177	97877633	96644319	92056306	
"Philippines"	45877737	58467804	63692684	65349781	65705431	67718869	70186127	85935069	98484468	115119184	112908749	90758564	
"Slovakia"	55159945	65644055	78796436	76372724	80809203	81119383	73053050	74920611	81935090	92952835	90908109	83379706	
"Norway"	68968818	77330165	90783501	87307782	89807227	89439401	76325060	72604228	82713861	87611853	85927067	81320407	
"Portugal"	71810897	77682426	82923618	72506492	75713900	78395891	66909182	67952834	78746119	95629299	89541380	77882921	
