Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	55672119	68174447	82981091	79982380	75962981	68404347	56752410	57733363	58133543	61781529	65115327	54821594	
"Area Nes"	920693	1264426	1834964	2122119	2169320	1877791	986638	687730	861872	13540999	13274880	19296159	
"Brazil"	11379426	14432985	17317105	16456672	15948973	13882695	10081115	9027619	9298290	8169488	7606172	5084253	
"China"	3666461	5798858	6033117	5068296	5511588	4459978	5174432	4425230	4319031	3847265	6325086	4594625	
"Viet Nam"	547244	655730	680395	800856	1185117	1550427	1801363	2546073	2271503	2071323	2749346	2746244	
"Chile"	4386659	4493083	4772318	5051834	3823118	2792208	2398278	2297397	2597656	2620758	2670597	2226775	
"India"	648331	1321491	968773	1186810	1089096	1810469	2003132	2208521	2080801	1474973	1843917	2118078	
"United States of America"	3680361	3668828	4301136	4023111	4182358	4081824	3422832	4482604	4460272	2886601	2875505	1529417	
"Indonesia"	603956	852442	1366929	1549439	1469194	1239639	1079289	1243438	1073249	1220882	1579219	1262827	
"Netherlands"	2392143	2369770	2548736	2204215	1912958	1574556	1205855	1170977	1374942	1523674	1606701	1209206	
"Egypt"	591613	979115	1707411	1013233	1254551	1051060	1073384	1791720	1262097	885125	905381	980768	
"Algeria"	709994	1012044	1656129	1465526	1563987	1601191	1147985	1162041	1471423	1708720	1479902	951626	
"Peru"	794705	1131982	1793980	1924853	1420998	1113946	722913	819951	1071451	925506	1400772	947854	
"Spain"	1852418	2241801	3041933	2514557	1669472	1693951	1352932	1627951	1501298	1293695	1256272	931790	
"Malaysia"	551661	813082	973595	993685	962619	940662	839371	999823	866889	909008	868024	756522	
"Switzerland"	946327	1017039	567021	656762	561182	544940	1258601	1141079	1259933	1268985	1578310	717730	
"Saudi Arabia"	312114	309258	626298	789036	1163012	811918	423162	664457	706582	728239	852243	653789	
