Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	2017386	2085662	2541705	2531665	2660989	2750172	2611672	2640277	3013160	3630401	4175809	3934554	
"Mali"	415317	544845	439571	394428	424432	469989	443151	461336	597522	700114	959429	826131	
"Switzerland"	157145	165454	221476	334153	263070	272269	225045	268398	303745	543103	613135	486479	
"India"	155203	209480	356601	290606	173372	60770	140040	208086	150366	303225	361686	299223	
"China"	23791	16142	18603	15820	22429	40002	119626	127230	133810	115573	276314	264722	
"Australia"	48	2	164	344	120	100	771	465	651	1417	2695	214145	
"Côte d'Ivoire"	58986	52678	54295	64684	92008	101579	122184	135041	140645	131330	156933	191945	
"Ship stores and bunkers"	250383	158888	227185	231056	262223	234191	172485	100504	153116	164955	187790	148873	
"Guinea"	66266	79174	135939	121984	127964	112259	98709	85296	105685	127529	134521	148555	
"Spain"	44508	60042	74173	57698	79987	72439	74277	90324	108033	139005	152215	124826	
"United States of America"	4414	4556	4359	10024	29362	33790	63764	62740	91161	113300	132303	117503	
"Gambia"	78052	77366	85358	91453	101696	92726	89871	85796	108133	97694	77517	112318	
"France"	121013	96593	112576	112645	108652	125627	97565	74312	77149	84620	87456	76977	
"Mauritania"	71588	64910	85160	81875	69619	72281	52537	77655	77366	75496	67829	71006	
"Netherlands"	28941	22085	25055	23494	51614	49258	43661	43462	87191	92680	54863	68813	
"United Kingdom"	79801	19655	36061	29987	42224	42149	41763	53849	60778	59999	62480	62952	
"Guinea-Bissau"	58438	49933	63769	69623	91232	90272	67131	53121	59893	68498	65494	57201	
"Norway"	22	899	755	97	2376	5704	7076	13873	40263	4315	20175	55296	
"Italy"	51963	46831	69146	60675	52250	75789	83440	65372	77372	109770	101803	54072	
"Burkina Faso"	23031	26052	41160	59904	57642	64538	43959	52739	57640	69296	64923	52159	
"European Union Nes"	0	0	0	0	0	0	0	0	9825	27752	48280	48523	
"United Arab Emirates"	27617	36415	39320	37128	125515	165371	106636	74073	135195	66404	58202	44254	
"Korea, Republic of"	1397	5333	9632	14746	31210	65670	33507	50691	41194	26651	39501	31953	
"Cameroon"	16939	31814	48494	50417	32001	65215	41847	27029	20121	29817	30175	30096	
"Congo"	4296	7727	8657	9377	32638	42705	38132	43552	45610	39111	38408	27395	
"Mexico"	590	710	1163	825	1188	1553	1784	8080	15360	11842	5179	24243	
"Nigeria"	16566	4880	10422	14034	9641	15142	10376	10073	21693	29805	25594	23875	
"Niger"	13442	12456	12007	11516	17931	11538	18593	22621	17098	28615	15305	20463	
"Viet Nam"	871	4968	9052	22668	29815	17394	30920	39096	5970	16535	24241	19342	
"Togo"	19734	20962	28573	29198	31226	29981	30578	25389	25035	21110	28584	19196	
"Benin"	15371	21077	21217	17081	23585	35328	20494	19302	16392	18402	20566	17233	
"Ghana"	11511	13278	14076	45374	12363	9368	9927	16861	16043	23954	10664	15363	
"Sierra Leone"	9362	12923	20007	28674	18468	29782	22622	17084	13692	16341	14310	12155	
"Morocco"	10294	5497	8560	6618	8933	7902	5291	7678	4457	9157	12395	10896	
"Japan"	3182	3965	10395	10574	4206	6406	6682	7138	5535	12321	16321	10733	
"Turkey"	544	1455	13385	5050	1873	2478	4093	4511	1867	4339	7229	9120	
"Bangladesh"	0	767	591	528	4441	5224	10007	11186	9442	10047	6959	8447	
"Lebanon"	18842	41645	55864	2859	3728	3727	19563	14798	17025	14687	15831	8345	
"Central African Republic"	711	3440	674	1641	785	3813	7832	9430	8583	9002	6792	7825	
"Germany"	5667	6302	5157	8855	4905	9317	5906	7889	5710	6026	5755	7356	
"Chad"	31449	27109	15439	8974	35803	16810	27339	23403	24472	26540	13973	7134	
"Greece"	25716	16337	17580	13719	9189	10282	8725	7599	6440	5586	7848	6906	
"Eswatini"	0	0	7	24	11	163	0	0	2809	5318	15271	6430	
"Gabon"	6197	7289	11583	11455	13237	17229	13805	11391	4173	6313	10180	6113	
"Portugal"	12515	12468	22435	11488	16325	11539	8211	15041	11594	10027	9282	4336	
"Equatorial Guinea"	7901	11260	18437	13966	19612	12811	11776	4836	1516	4916	4606	4182	
"Brunei Darussalam"	23	35	1856	2776	1471	626	662	503	1077	3300	2601	4094	
"Colombia"	1335	1313	51	1	86	23	57	351	498	3636	1182	4070	
"Congo, Democratic Republic of the"	5221	1946	2447	733	1300	1059	871	1481	2062	7006	2463	3466	
"Malaysia"	244	1980	3957	2748	1074	7080	2702	320	1949	2255	4176	3276	
"Area Nes"	40	43	3	378	711	5910	97	568	2175	37182	3662	3267	
"Liberia"	9327	8707	12167	10984	11777	9481	6902	7125	6703	7499	2900	3101	
"Ecuador"	0	0	0	0	1	54	0	256	2152	263	1224	2433	
"Indonesia"	69	325	6493	927	2602	1453	945	906	1464	1425	84	2433	
"Tunisia"	1073	2269	226	702	2857	227	1506	3397	2672	964	4028	2247	
"Singapore"	760	295	977	1983	475	101	39	1358	1143	10208	7443	2211	
"Ukraine"	94	324	125	239	325	7747	1260	582	946	4001	874	1916	
"Cabo Verde"	5050	7089	5301	4029	4794	3257	2139	3246	4128	4179	2826	1846	
"Denmark"	141	1484	413	797	588	405	2428	1650	1423	723	363	1817	
"Mauritius"	0	29	1069	778	912	105	25	1	179	8	147	1771	
"New Zealand"	0	0	130	11	459	186	9	40	428	1121	2412	1767	
"Poland"	12	82	540	25	4959	17955	22069	14269	4861	3121	9532	1737	
"Tanzania, United Republic of"	539	205	320	704	226	724	475	3008	705	521	885	1719	
"Canada"	651	1927	1431	593	1802	641	3880	1268	1700	1574	1659	1679	
"Taipei, Chinese"	592	2554	1067	1549	2072	2172	2487	2350	1549	2457	1704	1661	
"Israel"	1047	2242	2226	2320	3737	2987	2089	3466	2782	3460	2245	1659	
"Haiti"	28	0	0	0	356	756	144	208	0	298	202	1521	
"Albania"	592	498	1368	2239	3992	4248	3180	187	99	284	324	1405	
"Zambia"	17	0	15	2	166	339	292	203	1040	1130	1821	1281	
"Pakistan"	962	1120	2849	4056	5668	2792	1358	852	710	1141	128	1257	
"Angola"	2934	8386	3463	16287	979	720	393	4410	781	358	738	1240	
"Sudan"	0	0	0	665	347	885	860	652	900	1882	744	1197	
"Thailand"	1173	2666	5286	3072	766	1779	797	2130	5645	5280	1367	1087	
"Peru"	53	42	0	178	0	0	0	0	0	456	1520	955	
"Iceland"	319	1108	1123	1847	231	341	1689	1180	221	582	114	835	
"Egypt"	1047	991	581	375	4833	155	947	541	420	468	431	826	
"Philippines"	0	155	31	47	224	75	0	0	0	65	0	783	
"Uganda"	97	0	330	203	60	164	188	357	309	394	813	715	
"Brazil"	1122	295	408	512	2417	3218	4180	5260	2834	3276	761	713	
"Algeria"	310	161	800	238	612	680	1303	635	520	443	258	695	
"Hong Kong, China"	1152	1423	1901	2124	1447	3780	4424	3313	4827	2872	2131	641	
"Ireland"	21	9	1680	57	1618	129	426	2158	1	252	34	526	
"Saudi Arabia"	720	501	116	3925	7747	4150	1496	1625	1151	1929	871	461	
"Madagascar"	151	216	65	87	50	52	77	33	50	115	67	421	
"Bulgaria"	43	1245	1116	494	2588	2959	2353	767	866	890	888	410	
"Mozambique"	415	3519	1381	197	55	168	275	665	60	133	452	381	
"Iran, Islamic Republic of"	388	57	562	2438	359	549	527	2101	888	2968	0	321	
"Cyprus"	1223	1345	1663	1412	816	923	718	1059	1016	1339	1127	266	
"Austria"	65	35	68	37	64	236	295	345	389	196	228	244	
"Slovakia"	0	0	71	198	0	0	2	1	443	2	0	225	
"Venezuela, Bolivarian Republic of"	0	20	0	68	0	0	0	0	131	44	325	222	
"Georgia"	135	7	338	257	750	486	360	199	111	102	314	205	
"Korea, Democratic People's Republic of"	95	54	131	764	170	520	7822	486	2502	1535	1024	179	
"Malta"	289	377	362	348	333	558	546	677	610	625	392	171	
"South Africa"	1730	640	2227	2326	3807	2912	20518	1903	4524	536	1857	160	
"Syrian Arab Republic"	14	68	0	0	53	0	0	14	0	272	19	158	
"Chile"	144	14	0	16	0	10	0	127	1328	114	6631	147	
"Russian Federation"	264	19	62	1415	32	1032	85	1136	5709	82	6177	135	
"Guatemala"	18	57	245	0	0	0	0	36	0	142	569	122	
"Costa Rica"	109	21	40	109	0	124	321	21	2	849	985	102	
"Jordan"	120	133	322	230	12	25	196	116	74	56	1	101	
"Lithuania"	0	0	0	0	0	0	0	10	0	14	0	99	
"Burundi"	383	24	9	66	25	6	42	51	53	64	133	88	
"Argentina"	39	7	107	183	41	46	0	122	9897	0	0	84	
"Sweden"	139	103	24	2400	474	303	1135	1127	2902	2618	5781	78	
"Panama"	7	0	6	11	1265	31	0	2	322	0	0	68	
"Oman"	0	211	0	13	0	1	39	0	7	12	0	65	
"Rwanda"	18	44	85	19	16	19	9	54	4	16	4	64	
"Macao, China"	645	155	440	184	134	0	95	1	0	0	8	46	
"Iraq"	0	0	0	0	0	0	0	0	1	15	232	45	
"Gibraltar"	0	0	0	0	6167	10332	2537	2553	0	0	0	41	
"Azerbaijan"	0	0	21	0	49	0	0	71	27	27	106	41	
"Latvia"	0	0	0	0	0	0	242	94	3	83	0	37	
"Slovenia"	0	183	361	447	170	75	7	14	0	0	0	37	
"Somalia"	0	0	0	0	0	1	0	0	0	0	131	35	
"Seychelles"	0	0	0	0	0	100	93	0	0	0	4	35	
"Hungary"	50	202	65	12	2	169	5	980	5	70	152	31	
"Ethiopia"	59	34	17	53	18	173	43	3	487	86	1698	29	
"Czech Republic"	21	79	0	0	0	204	12	0	2	0	7	25	
"Kenya"	1703	1022	1407	6383	1864	4082	769	44	137	298	1427	21	
"Kuwait"	5	0	2	132	9	1	10	3	952	23	5	19	
"Maldives"	0	0	0	1	0	0	0	2	7	2	4	19	
"Comoros"	2	20	14	0	10	501	1463	106	0	116	24	18	
"Finland"	351	25	40	807	62	32	13	14	32	22	4854	18	
"Suriname"	0	0	0	0	419	16	777	0	0	11	183	18	
"Qatar"	0	21	0	0	0	916	10	1	42	0	0	17	
"United States Minor Outlying Islands"	125	88	2	0	0	0	0	0	8	181	133	16	
"St. Pierre and Miquelon"	0	0	0	0	0	0	0	97	93	0	0	15	
"Afghanistan"	4	9	38	40	94	96	28	39	7	3	53	14	
"Cuba"	0	0	0	1	0	1	0	0	0	0	2	12	
"Samoa"	0	0	0	0	0	0	0	0	0	0	0	9	
"Romania"	0	18	16	0	13	0	138	42	0	12	28	6	
"Guyana"	0	0	0	3	301	12	0	0	0	8	13	5	
"Libya, State of"	164	565	0	375	3150	196	301	29	486	7	62	5	
"Nauru"	0	0	0	8	0	102	1	0	4	7442	0	3	
"Djibouti"	40	9	359	242	417	14	1	132	15	47	6	1	
"Antigua and Barbuda"	35	9	165	5	1288	823	739	145	695	20	90	1	
"Lao People's Democratic Republic"	198	0	0	109	0	0	0	0	1	0	4	0	
"Montenegro"	1	0	434	104	599	753	4	477	1	10072	1483	0	
"Niue"	0	272	89	219	0	37	17	0	0	0	0	0	
"Saint Helena"	0	0	0	0	0	0	0	0	0	0	160	0	
"Tokelau"	421	0	0	0	100	0	0	0	0	0	0	0	
"Andorra"	0	0	21	0	0	2	2	84	0	0	0	0	
"Bahamas"	0	6	0	6	0	0	0	0	13	0	0	0	
"Bahrain"	19	0	0	13	0	0	0	0	0	0	0	0	
"Armenia"	0	0	0	19	23	216	26	5	4	1	1	0	
"Barbados"	0	0	0	0	62	0	194	203	0	0	0	0	
"Belgium"	14024	12386	11045	12408	19518	19926	13417	14002	0	0	0	0	
"Bermuda"	0	0	39	5	6	61	0	2	0	27	2	0	
"Bhutan"	0	0	21	0	0	0	0	0	0	0	2	0	
"Bolivia, Plurinational State of"	0	16	0	0	0	0	0	7	0	0	0	0	
"Bosnia and Herzegovina"	0	36	0	169	1	0	2	6	0	7	0	0	
"Botswana"	17	0	368	324	52	237	24	23	22	49	355	0	
"Belize"	0	17	0	0	2	0	0	0	0	0	0	0	
"Myanmar"	0	0	0	0	0	0	0	0	85	0	130	0	
"Belarus"	0	7	6	8	134	255	0	0	0	22	0	0	
"Cambodia"	0	0	0	10	0	0	0	18	2	0	0	0	
"Cook Islands"	1	0	193	189	3	1	0	0	0	0	0	0	
"Croatia"	19	29	124	0	0	0	0	14	0	0	49	0	
"Dominican Republic"	0	0	0	0	5	202	9	0	0	0	0	0	
"El Salvador"	0	0	17	0	40	28	0	0	218	0	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	42	5	0	
"Honduras"	1	127	13	14	0	86	0	0	0	0	0	0	
"Jamaica"	0	0	0	26	29	0	0	0	0	0	0	0	
