Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	55672119	68174447	82981091	79982380	75962981	68404347	56752410	57733363	58133543	61781529	65115327	54821594	
10	"Cereals"	3214985	4621948	8153324	9529615	8312033	5237136	4845328	6975113	6963524	7556258	9407270	8897214	
23	"Residues and waste from the food industries; prepared animal fodder"	8621025	8783133	10442924	10971356	12028412	12844769	10650409	10784504	9820786	9972573	9511612	8456294	
99	"Commodities not elsewhere specified"	897014	1250275	1816543	2102021	2119715	1867075	956448	678166	854306	4928453	4722766	6099770	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	4479045	5192346	6836706	5929357	5181936	4316285	4702491	4967889	4850172	3973148	4681290	4751228	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1980612	5338367	5795701	3796188	4615926	4211232	4746196	3836435	3145716	1779588	4096386	3416486	
02	"Meat and edible meat offal"	2065736	1693981	1904625	1801809	1891045	1836550	1368681	1461449	1831351	2581086	3819917	3303501	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	5376383	7972844	9974371	9558063	10086140	8335256	5981954	5006104	5764769	6693311	5805452	3284098	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	5659550	5388135	4956045	4981942	3557637	3201008	1428784	1420098	1608367	3109319	2956638	2106301	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	1209361	2258094	2734042	2567046	2053830	2067792	2529538	2244339	2510905	2483512	2555308	1977398	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	1086073	1306600	1437817	1305835	1481776	1556169	1434178	1672680	1947432	2071833	1795239	1627063	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	810214	1060939	1716670	1532132	1679491	1531461	1048713	819124	772687	1031502	911229	1116724	
22	"Beverages, spirits and vinegar"	744694	850713	964066	1033416	986942	938604	928372	925497	912670	935751	890041	853321	
38	"Miscellaneous chemical products"	1523494	1932610	2856510	2542550	1930607	2202731	1344871	1893909	1890530	1637427	1307927	850764	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	1079745	1203254	1339587	1169782	1248330	1079525	885420	1013047	915288	1021264	842076	783231	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	866874	942762	1369491	1367341	1286747	1020095	1107748	1161147	1147839	1207645	1009083	717312	
07	"Edible vegetables and certain roots and tubers"	427306	643466	743442	701782	451910	508240	461879	724267	732983	608855	638018	676765	
