Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	1125844048	1267743109	1483802558	1410146321	1450937515	1498238432	1323665116	1332489067	1444776367	1556622939	1486877250	1378030840	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	204752727	221343169	261977941	245246444	250238898	256523585	221514216	220421950	248051372	272509150	261225984	236713066	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	163379152	203378737	247545183	235528646	243242057	259437100	241453521	244154605	256940930	263870692	244648222	211170797	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	114227517	134931068	148727317	138383492	142979931	147300174	130043235	136072867	149505476	163964937	158450943	151869495	
30	"Pharmaceutical products"	63229557	63752870	69041420	70387759	74817967	79703686	75297186	75898005	83769470	96420262	90294694	97436605	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	48767435	56519903	66133349	63981334	67218291	68773985	62100114	64872029	73331967	79980015	79457606	74535250	
39	"Plastics and articles thereof"	48159173	53506444	61505198	57420579	60550317	62934869	56058285	57400821	63173991	67669156	62929691	60161909	
99	"Commodities not elsewhere specified"	35272323	40387556	43927564	43973921	44470082	49045735	42874710	41835600	38393487	38038307	35266936	30535500	
88	"Aircraft, spacecraft, and parts thereof"	31153093	30958318	37731494	43481830	44010555	43724995	43903025	45039677	42387778	41426489	43236015	28264460	
73	"Articles of iron or steel"	27585072	28465858	34546209	32016850	33214417	33351869	28581438	27998994	30433550	33514332	31202446	28185730	
38	"Miscellaneous chemical products"	17972292	20901282	25065719	22886160	24817743	25631887	22569561	23397952	25007284	27134471	26170082	27046138	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	24070186	26674381	37098662	36757402	36403369	35393107	29750472	22997923	26126339	33199216	34039982	26196875	
29	"Organic chemicals"	24598734	26080901	29386266	28755619	30147608	30422383	24002787	22736857	25025705	26854205	25780951	24576820	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	9954770	15174860	20985870	19610798	16711362	14159600	12072578	12648050	13025040	14277863	17757915	22687842	
72	"Iron and steel"	22986411	29591780	35737415	31431707	29105625	29075503	23115784	21449439	26263655	29111225	25540260	22086746	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	21838202	23880019	26026101	21932663	22195531	22506071	19011056	19141635	20089085	22176364	20621979	19191188	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	14796804	15366753	18331296	16982244	17247450	18092091	16269778	16811935	17314210	18628722	17861644	16493313	
40	"Rubber and articles thereof"	12129505	15070377	18868366	17610579	17896432	17853481	15279484	15466029	17123784	17931476	16598712	15140020	
76	"Aluminium and articles thereof"	12818762	13651578	17751770	15559977	16212864	16966653	15540960	15164438	16425780	17736745	16485729	14745633	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	10065752	11350847	13145027	13131560	13840809	13992986	11826889	12006348	12870189	13637741	12945307	12207330	
74	"Copper and articles thereof"	9308318	13772575	16880493	14893274	14024380	13696397	11065502	10359977	12269946	13252150	11561182	11536296	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	9281599	9115006	10553406	9484482	9710127	10172223	8347614	8583596	10530548	12276548	12489807	11515062	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	7388985	7933875	9184559	8166651	8587097	9290273	7830957	7949465	9787282	11103946	11314712	11107962	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	8340689	9316398	10904970	10192285	11950270	12394298	9208331	8797405	10386510	10530547	10536248	10619227	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	7642455	9005555	10714398	10067735	9450639	9792367	7954086	7549782	8530580	9268451	9838075	10520676	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	8899959	9689154	10747773	10510698	11132375	11119241	9686353	10042356	10591776	11652263	11701739	10293167	
44	"Wood and articles of wood; wood charcoal"	8255276	8602359	9274825	8245089	8764114	9149940	7863351	8164120	8850717	9845533	9498114	9887893	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	6735141	7631250	9004951	8670881	9101396	9690862	8519402	8667025	9406017	10150930	9433882	8709545	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	6353511	6936271	8078259	7805553	8379331	8686334	7562238	7820357	8447450	9095429	8592556	8582474	
02	"Meat and edible meat offal"	8401056	8496138	10121048	10032460	10379106	10003939	8064658	8474031	8983367	8547412	9115320	8284419	
64	"Footwear, gaiters and the like; parts of such articles"	3789074	4072996	5418371	4504555	5137204	5815619	5078414	5846026	7451125	8589605	8978209	8260487	
83	"Miscellaneous articles of base metal"	7033765	7781542	8871348	8142969	8515006	8787085	7658143	7941896	8410293	8933999	8382572	7853130	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	5591806	5501065	6152333	6097904	6676323	6870001	6189289	6513151	7105296	7583893	7382541	7564153	
21	"Miscellaneous edible preparations"	5004610	4936839	5680265	5640705	6142359	6360830	5505063	5800303	6291337	6735265	6698415	6972574	
70	"Glass and glassware"	5760196	6031646	6683288	6198012	6718698	7136819	6227443	6411907	6894165	7784553	7127434	6632443	
22	"Beverages, spirits and vinegar"	5553454	5857118	6509665	6310278	6741054	6934404	5963551	6282244	6590699	6970070	6656661	6102097	
18	"Cocoa and cocoa preparations"	3797265	4369779	5093484	4816978	5317418	6095967	5387887	5710829	5784858	6194380	6180269	6041775	
95	"Toys, games and sports requisites; parts and accessories thereof"	7815861	6604056	6841436	5083096	4500397	4735040	4489409	4491761	5389675	6027224	5790064	5921283	
23	"Residues and waste from the food industries; prepared animal fodder"	3484326	3547648	3973209	4451483	4884021	5100540	4437552	4450008	4453035	4865492	4831473	5624654	
89	"Ships, boats and floating structures"	3398387	6646076	4313544	5084505	4642259	5425577	5730087	5846655	7054399	8867620	6145823	5426522	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	3846551	4300709	5064670	4622010	4892644	5163717	4542012	4798296	5208184	5758107	5393041	5157010	
96	"Miscellaneous manufactured articles"	2347393	2493959	2728459	4291486	4501995	4808107	4087794	4248699	4415136	4662186	4447312	4345245	
35	"Albuminoidal substances; modified starches; glues; enzymes"	2771086	3079731	3560775	3517234	3757912	4048749	3447180	3428645	3875946	4140516	3971740	4249123	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	2270992	2357608	2833340	2684188	2835009	3083456	2772098	2823388	2803312	3134936	3091936	4164078	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	6156285	5872119	5964288	5303642	5515477	5508143	4599330	4551406	4602367	4988380	4423611	3999445	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	4945652	5377308	4777202	5035425	4768558	4786069	3522337	4653622	5255388	4651568	4074144	3988556	
69	"Ceramic products"	3498483	3585469	4020134	3693214	3802281	3904860	3385249	3479757	3664030	4127718	4130881	3688496	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	3116397	2964072	3381957	3306520	3609811	3695935	3111060	3067023	3236258	3545017	3439004	3465356	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	2804175	2564237	2856282	2817101	3086003	3151112	2775895	2891340	3149470	3468977	3313108	3313609	
09	"Coffee, tea, maté and spices"	2163127	2480584	3374925	3086856	2988542	3125847	2834089	2959525	3326713	3248254	3046116	3246978	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	2169260	2441089	3495815	3767866	3968361	3279741	2960403	3083262	3237571	2988307	2786630	3176735	
10	"Cereals"	3016525	2823660	3317142	3320473	4324986	3851433	3400566	2842344	2440211	1970198	1950343	2990152	
24	"Tobacco and manufactured tobacco substitutes"	5230690	5118025	6071774	5372678	4977640	5094027	4678573	4854773	4449768	4177132	3670235	2815782	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	2275891	2521172	2946857	2669760	2874803	3023663	2568260	2563622	2749888	2885225	2771730	2719030	
17	"Sugars and sugar confectionery"	2011470	1982639	2327415	2492795	2504913	2563806	1988061	2166503	2535596	2667135	2534444	2623151	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	1743751	1810311	2180238	2027940	2152711	2344410	2101704	2246534	2541596	2783062	2756710	2445876	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	2017334	2367500	2733414	2520869	2648466	2679217	2302703	2480170	2710364	2897130	2595685	2393528	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	1637615	1682338	1777867	1596706	1860186	2006555	2042635	2114438	2128510	2202111	2115586	2281560	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	2539287	2555666	2996168	2545805	2622302	2585398	2224933	2204371	2238863	2341358	2220896	2092858	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	1255828	1200792	1441080	1525141	1668336	1781589	1577957	1603870	1706453	1848105	1855027	1855756	
91	"Clocks and watches and parts thereof"	1342606	1683469	2081621	2087429	2379012	2543853	2376949	2016898	1959185	2013324	1852557	1641566	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1145101	1235821	1426964	1242179	1335565	1474274	1270145	1397836	1534080	1698410	1498223	1593113	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	1390114	1453025	1714839	1504770	1676760	1804248	1616489	1783063	1857900	1843942	1654041	1516115	
75	"Nickel and articles thereof"	855729	1054365	1415524	1405236	1323887	1394144	1233365	979061	1213612	1498567	1568836	1464122	
01	"Live animals"	1425224	1443241	1779166	1792194	2033939	2017558	1728518	1643893	1670774	1668533	1553860	1359160	
07	"Edible vegetables and certain roots and tubers"	1116906	1184353	1266429	1161859	1467845	1254724	1091992	1173039	1230298	1273249	1341320	1280252	
54	"Man-made filaments; strip and the like of man-made textile materials"	1869626	1931416	2204852	1842805	1865482	1914384	1618206	1560702	1622502	1679396	1511272	1257293	
81	"Other base metals; cermets; articles thereof"	841118	1162194	1573782	1497585	1554188	1728664	1407078	1409563	1568894	1732506	1616705	1202914	
37	"Photographic or cinematographic goods"	1580817	1521356	1532085	1496291	1543039	1551521	1311975	1381324	1370106	1489422	1373880	1188833	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	859125	847954	1065775	984174	1111277	1113341	938395	1019858	1023631	1132885	1074862	1074334	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	1132731	1429002	1753803	1448125	1541641	1531451	1358023	1331187	1413777	1417163	1288609	1047292	
31	"Fertilisers"	2261783	2338074	3144907	3203528	2847737	2453858	997308	911565	966129	1078384	1089235	1015755	
05	"Products of animal origin, not elsewhere specified or included"	774962	782650	969625	984295	1114161	1052768	856660	870186	991717	1094625	1034714	981440	
55	"Man-made staple fibres"	1536323	1623027	1829242	1672928	1791734	1788930	1074572	1042378	1099003	1125186	1000448	926491	
97	"Works of art, collectors' pieces and antiques"	712702	1025797	1305590	1211857	865955	842359	918485	782163	869586	1036022	913009	720399	
92	"Musical instruments; parts and accessories of such articles"	548945	630526	746446	696477	720468	730496	620072	611143	679880	759267	772698	717860	
60	"Knitted or crocheted fabrics"	966663	1062780	1242494	1005948	1027452	1021203	865789	882865	934223	902768	806379	694923	
52	"Cotton"	1210316	1324216	1629487	1330077	1300927	1261326	982249	945242	963166	945409	813918	687618	
41	"Raw hides and skins (other than furskins) and leather"	863705	1123277	1423629	1299635	1416428	1512340	1224282	1095867	1085458	1063599	797212	620102	
79	"Zinc and articles thereof"	482958	629320	726675	658213	599146	675658	513384	519145	706341	752784	744922	590908	
65	"Headgear and parts thereof"	318837	346065	406406	358976	409201	452205	383236	414642	482696	529108	547184	560035	
57	"Carpets and other textile floor coverings"	657381	686954	754716	677930	673079	689896	567251	601043	619553	646910	604149	557292	
93	"Arms and ammunition; parts and accessories thereof"	537536	537877	555146	589785	688440	577779	494695	566776	534409	534982	506646	539620	
13	"Lac; gums, resins and other vegetable saps and extracts"	621330	623757	649029	631614	676073	674110	405949	428015	501656	548711	551689	536278	
26	"Ores, slag and ash"	333217	409554	479918	458289	448015	418218	368473	407045	554825	594785	576164	499917	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	603900	631185	690547	594745	603105	610400	549551	560320	596281	616733	579864	499320	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	747016	845245	1064740	867929	734332	696407	634468	626296	569684	580008	522938	396173	
78	"Lead and articles thereof"	544666	655028	708783	554367	554103	630095	449332	373564	499564	504300	381070	338924	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	261467	268965	315446	299087	300843	281989	168822	181070	213522	262632	264293	229544	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	89097	94073	119025	116581	120941	129673	113397	127548	137009	162548	166642	168412	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	253436	153999	113698	101652	101080	112528	105163	132429	104980	117546	107290	94082	
80	"Tin and articles thereof"	94856	138156	191259	146728	155890	165447	114629	116373	130964	134394	107801	93462	
43	"Furskins and artificial fur; manufactures thereof"	174478	197568	249310	280584	273785	256004	149557	125581	142420	146764	123913	60340	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	65447	54977	54698	50101	50095	54085	49379	54977	50471	51978	52840	59594	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	67541	62434	73632	60128	53472	53058	45130	45274	42720	46102	46180	38696	
45	"Cork and articles of cork"	47501	40579	46768	40505	34711	36404	31525	33728	33277	35215	34047	31914	
50	"Silk"	84968	85620	97104	101007	97117	86970	64373	50083	49945	51904	30131	23988	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	12930	12170	15800	13845	10775	12712	9002	7689	8338	10778	9336	9879	
