Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	2017386	2085662	2541705	2531665	2660989	2750172	2611672	2640277	3013160	3630401	4175809	3934554	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	182896	204920	248262	359386	381759	353060	257376	329544	379493	565051	642139	736119	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	440823	436104	374420	360804	439199	460980	362449	282196	445327	572632	831360	629026	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	228373	232251	300331	262947	302941	374587	331738	365203	396428	472819	496089	431684	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	150205	201876	345372	279552	170074	108588	164446	199981	170474	288392	340510	270500	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	3909	9060	15147	17191	33225	14606	90519	108041	90632	84548	195402	203413	
26	"Ores, slag and ash"	35	230	1192	236	202	20269	93213	99615	145160	179705	196980	202189	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	185677	239728	280885	269932	214187	252822	269161	266656	257293	206752	193706	174341	
21	"Miscellaneous edible preparations"	45029	49335	74181	93706	132293	126919	115975	116676	137008	146184	144673	148577	
72	"Iron and steel"	84275	99522	150424	137316	118284	83630	51008	42307	77750	97065	102057	109291	
07	"Edible vegetables and certain roots and tubers"	21560	24839	30872	26868	53723	59097	48674	52234	68530	72277	69993	89020	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	48454	44508	46408	46326	46966	55660	47084	48392	53421	73299	72498	78240	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	8768	8976	17050	21334	29533	30264	23041	32743	37392	69263	100479	74211	
24	"Tobacco and manufactured tobacco substitutes"	88015	87689	99645	87221	128110	132740	127353	114232	108045	96190	74148	62735	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	4073	3327	2827	10620	28867	34551	36761	41858	52551	61402	35892	58227	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	10037	12351	29464	38319	48245	48388	49650	32883	56946	41810	35071	56078	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	12566	4295	3366	625	12267	14884	11741	6029	10734	21735	68701	52306	
89	"Ships, boats and floating structures"	1460	767	1205	22029	651	721	296	283	1923	808	16719	42854	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	22434	29136	31783	38396	20519	39459	35183	33164	31259	29361	36415	40396	
39	"Plastics and articles thereof"	50635	36616	31746	37621	35194	41865	37920	41458	40790	42269	33113	38334	
31	"Fertilisers"	11082	9276	13065	7373	11456	31813	10508	17346	32597	46919	50267	36987	
55	"Man-made staple fibres"	1514	1871	1378	5780	17152	20832	22690	24969	34539	34982	26635	35637	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	8052	17564	16277	12158	12910	11761	9997	15040	15657	18035	22285	27477	
10	"Cereals"	50020	23366	54969	43693	39487	41562	38272	46306	32371	46491	52769	26456	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	46537	41167	32114	29651	16411	23352	19686	25295	34930	16228	27441	24638	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	23971	26202	29265	44026	35955	47729	47603	32664	39034	31358	21787	24495	
22	"Beverages, spirits and vinegar"	3715	3970	5365	3945	4858	4112	4229	3221	5431	5454	8406	22045	
73	"Articles of iron or steel"	11047	14309	12386	14372	13842	15299	11401	19370	16258	17650	13469	19413	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	20700	11997	14398	15800	14161	14080	14326	17081	12532	14305	14468	18936	
