Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
TOTAL	"All products"	1056712100	1278099187	1481682200	1544932000	1577587300	1619742900	1503328350	1451459684	1547195403	1665688484	1642820352	1424934919	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	153167236	182902861	205826160	215180488	213482188	219766259	206322326	190945121	202065162	213370247	206126759	182709808	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	124872442	151776704	159468543	162434694	165841746	172368327	170010927	166964105	174505226	176508425	173001469	162785012	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	54936720	81692032	130566668	137332529	148872444	155608248	104781536	94005494	139571912	192249974	199543997	151164069	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	73601862	99148693	120011781	133078053	134084552	135972388	127366637	124702177	130406682	130678694	133834668	105560729	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	65076438	73960067	79383779	83367062	84353330	84966350	83433294	82016451	83639334	89651535	90828117	83222109	
88	"Aircraft, spacecraft, and parts thereof"	82957527	79617923	87757246	104440080	114898028	125186257	131661791	134742238	131120839	139442044	136519380	81293548	
39	"Plastics and articles thereof"	42795066	53625263	58743605	59006434	60980811	63037374	60347504	58628345	61907709	66561665	65004106	60205864	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	38414676	51742636	71785843	72106219	71641926	64089621	58743797	57780402	60268348	63804887	59700321	59817926	
30	"Pharmaceutical products"	40668566	40788230	38341461	40129283	39708541	43995520	47094047	46828627	44936422	48422459	53154570	53749642	
99	"Commodities not elsewhere specified"	30750044	40373872	39377993	40638745	42135938	43237139	41444087	40131229	42447656	46181163	46707299	40973897	
29	"Organic chemicals"	30796713	40928207	45682440	46079295	46600465	42340487	38703088	33956461	36278625	40242211	38889529	33567334	
38	"Miscellaneous chemical products"	18126581	21197593	23881042	25327714	27028664	27259322	25916666	25317150	27678240	30305676	30635625	31256429	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	19558426	21959179	21231784	29688507	26955339	28862025	23599315	27718131	26387756	22411370	23906961	30833296	
10	"Cereals"	17419347	20036820	28347941	20616227	20300976	22850742	18816091	18938198	18613044	21021758	16923853	19338911	
