Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	38786162	56792378	73960656	67973972	74441745	65735988	59786946	55609530	66702809	65482814	49125030	42355637	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	6085858	8539868	11050169	9868233	10356592	9657600	9213896	8335145	9930439	9487003	7578351	6375093	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	4972348	6979636	8315517	7664713	8451481	7300324	7714443	7076532	8624561	7855868	6434700	4769813	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	5778354	10125006	12879867	11995298	14359483	8778886	8313033	9637606	13194644	10993676	5632126	4613819	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	2436372	4479355	9402076	8736468	12017157	10879872	6571728	4535640	5456715	6297316	4190206	2566142	
29	"Organic chemicals"	2030364	2660126	3088777	3032375	3043366	3018905	2755540	2263864	2329844	2438265	2370092	2539675	
30	"Pharmaceutical products"	1207919	1565562	1790422	2087550	2137987	2148944	2400241	2157321	2380900	2374070	2089587	2143936	
39	"Plastics and articles thereof"	1750113	2427939	3033556	2837762	2786593	2580925	2615039	2219387	2383933	2383467	2115251	2108606	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	421427	83127	86128	75459	77145	76453	76747	400363	787697	2595044	1676620	2068632	
38	"Miscellaneous chemical products"	810678	1185107	1475169	1495449	1577371	1547186	1379250	1259311	1448024	1346568	1331260	1260813	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	927661	1227289	1637419	1611846	1661770	1621256	1791465	1586456	1793301	1720704	1386807	1182940	
31	"Fertilisers"	335140	940207	1441790	965733	853063	846561	581843	771468	729056	1114938	1052418	1117680	
40	"Rubber and articles thereof"	705424	1182766	1493789	1280501	1420315	1174105	1026951	967011	1100253	1011710	853226	741385	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	742204	1010232	1200315	1041773	1025475	924343	963170	823235	827231	797963	701085	682330	
72	"Iron and steel"	724653	1422614	1547116	1383044	1161291	1011716	1086682	656048	1264337	1111829	699377	649349	
73	"Articles of iron or steel"	913065	874833	1194523	1135724	1051250	1047706	1034068	777457	935831	978496	928715	611259	
