Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
TOTAL	"All products"	4712899	4776840	5908917	6434216	6552182	6502674	5595355	5477912	6728704	8081617	8146866	7820339	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1092937	1428275	1877199	1845812	1943671	1928654	1316000	1084869	1473833	2259510	2106671	1811009	
10	"Cereals"	466856	441599	581489	691000	695887	640287	574752	502633	640955	721074	596675	693261	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	481813	423653	440635	522578	560605	534514	597898	624203	649735	608537	732613	665684	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	307235	239663	329083	284401	335450	336641	365651	344383	521525	447296	543381	537735	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	331187	340081	366087	399335	350855	393101	378716	464887	472165	544334	495975	444477	
30	"Pharmaceutical products"	136429	135033	168324	176375	181710	198452	180297	178669	212415	243934	265162	281393	
72	"Iron and steel"	138592	187181	241000	236148	201404	182687	184185	172870	234934	329595	301259	277226	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	138748	126128	152045	219134	180118	173570	123835	144937	178363	163507	165590	243146	
39	"Plastics and articles thereof"	136315	81883	138138	166758	190535	195115	172866	168949	192905	227106	224507	233071	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	33004	46796	91501	107671	138079	152854	102697	127153	159244	175828	224303	228006	
73	"Articles of iron or steel"	105791	78398	85871	90445	138270	130107	109751	127674	169945	268220	261175	199510	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	37906	33435	43485	43342	49793	71476	53228	58583	78415	59755	67177	111383	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	73695	56100	69563	91722	99887	98800	88901	86007	94930	99525	102087	110983	
