Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	4712899	4776840	5908917	6434216	6552182	6502674	5595355	5477912	6728704	8081617	8146866	7820339	
"France"	955870	942202	1018421	948741	1012303	1069495	917069	870973	989949	1025519	1367349	1224970	
"China"	391684	397073	390381	378542	476723	473851	544214	564595	654482	897650	871078	720159	
"Netherlands"	187346	253063	385289	181833	542219	537303	230336	289781	375678	527972	550953	482454	
"European Union Nes"	0	0	0	0	0	0	0	0	266602	485735	563429	465551	
"Nigeria"	415066	488377	541237	757772	703738	524132	452837	424809	532641	700593	419116	447503	
"Spain"	187504	189578	199905	220958	316077	235504	289340	267711	235499	317335	332725	395998	
"Russian Federation"	26875	37001	44707	210614	70416	92893	127429	92076	139793	239617	364028	353601	
"India"	95370	117332	118628	427592	413083	386198	354885	417270	491078	520221	276971	334927	
"Turkey"	58430	84100	223890	167378	182071	281768	143615	140121	230631	378981	303374	278415	
"United Arab Emirates"	24427	61811	56442	68932	84286	113335	132058	157855	160340	114937	152209	218654	
"United States of America"	131849	127330	287175	174466	152132	142523	139011	122668	140204	201834	159760	204534	
"Brazil"	171651	128064	179980	126258	135753	78684	88713	120962	135721	111759	123271	171138	
"Germany"	159514	107708	107453	122848	157325	201934	176563	128941	284013	188869	159625	149504	
"Italy"	149311	96500	171459	128629	124219	121699	137065	132539	152076	201140	134971	147371	
"Morocco"	73471	52270	58147	111382	116523	81784	74646	94983	103769	118184	127715	147226	
"Switzerland"	19092	32734	57183	48630	50336	40096	33659	35248	37897	57064	89412	120806	
"Japan"	87297	116283	101620	135446	134897	125256	124691	124464	120837	142790	140259	109505	
"Ghana"	14589	14158	12414	11459	13776	17232	29537	55443	69498	42214	73339	109230	
"Ukraine"	56244	112427	65167	81443	96662	86031	63581	70490	95807	194871	144494	108078	
"Côte d'Ivoire"	184360	113410	186008	181817	145805	151258	100901	104806	124395	89660	94209	102148	
"Argentina"	98686	111946	100591	118956	73170	72706	58347	57072	93502	119109	102463	99986	
"Poland"	8280	14977	18835	33626	34764	22106	37806	55470	52345	61127	81323	91457	
"South Africa"	90624	82409	104649	103195	101327	118484	98136	91123	120482	127960	100357	85521	
"Malaysia"	13844	14902	18713	22023	39656	51157	32242	37749	57848	72953	67051	83272	
"Thailand"	225169	155495	195273	110428	95505	124738	105242	99954	143579	122472	117573	74355	
"Finland"	13475	13211	14259	111211	14017	19000	55416	33212	25469	21280	20576	71652	
"Korea, Republic of"	44683	39908	41763	65338	80986	47912	68389	49424	55470	67292	49269	63843	
"United Kingdom"	157573	234368	311089	327647	191348	200230	91469	52434	65308	69159	61974	62739	
"Pakistan"	12924	17852	12762	22957	21143	6761	34613	19391	8410	35808	51872	47992	
"Viet Nam"	80718	52489	120736	29539	25522	17505	8404	4219	8543	6070	26920	44318	
"Canada"	33948	27803	28789	39326	29424	28173	22606	19061	25174	32082	36187	40561	
"Tunisia"	32681	23134	28340	40143	48061	39894	38612	40490	52965	44693	46489	39819	
"Togo"	3795	3638	2206	38102	31372	38637	13013	7435	14249	38587	40811	39220	
"Egypt"	22905	28222	14017	20592	38606	23095	19527	28009	21694	23087	35627	35520	
"Ireland"	22756	24985	22707	17059	32645	24962	13472	17166	15250	31719	36739	32370	
"Indonesia"	19544	13095	20812	21803	38598	41466	27224	21833	23777	20802	31649	31596	
"Sweden"	15631	15019	19714	42777	32487	29365	24413	23254	23928	22396	25795	29251	
"Portugal"	55762	54164	44343	64217	70649	58458	47448	30660	41837	44857	38031	28561	
"Hong Kong, China"	5309	5018	3835	6165	7973	10457	12203	7683	19261	24558	30286	28529	
"Algeria"	1469	589	584	343	600	2367	4530	24709	8178	8017	6248	26401	
"Saudi Arabia"	14760	13349	24239	23766	42598	40147	34650	24163	28770	32350	24798	25049	
"Denmark"	9988	19671	6749	5892	6310	7803	8300	7929	9851	26457	154039	22943	
"Norway"	3458	383	453	1646	349	250	561	1180	3146	3718	8379	22131	
"Myanmar"	0	0	0	334	0	0	0	0	3249	1444	3101	21683	
"Cameroon"	9591	8990	9969	28579	16120	13032	12217	14111	29836	24595	32194	19860	
"Singapore"	7881	10699	12170	17546	14381	77265	139225	74884	73877	155031	146006	19322	
"Samoa"	0	0	0	0	0	0	0	0	0	0	0	19209	
"Gambia"	82	2107	959	1203	1119	1552	1053	235	3040	8229	3059	18166	
"Iran, Islamic Republic of"	17849	7901	66185	23314	3900	4219	19535	27513	35342	16706	18538	17747	
"Area Nes"	13688	15277	5749	647	2551	12619	125	8499	10059	13929	26267	16619	
"Mauritania"	138	721	4548	6433	8565	5763	4935	8893	6249	12531	5699	13851	
"Greece"	13408	2474	1564	3684	2169	2896	7114	9444	4053	7754	22721	13717	
"Australia"	12373	12551	34269	70265	54877	8489	12287	7931	45178	10453	10119	13005	
"Uruguay"	19628	37599	36335	16023	20600	6003	382	4018	7471	7279	20952	12616	
"Bulgaria"	829	872	6051	4550	10807	6495	5314	4566	7656	8050	5773	11710	
"Qatar"	677	349	1562	20649	3655	8860	9721	4272	3683	5830	7865	11268	
"Lebanon"	8937	9431	9478	5184	3135	3495	18113	4699	9941	9631	5423	10522	
"Belarus"	9004	1141	9192	8842	127	792	87	90	5338	4207	12259	10170	
"Albania"	0	2123	6569	6935	9906	9855	8518	6126	5859	5779	4963	8599	
"Israel"	4976	3259	10310	24690	45032	2642	10910	6178	5962	1761	2047	8449	
"Romania"	3178	4574	6688	13612	6855	4618	4688	5502	8539	14579	6814	7881	
"Lithuania"	3934	1698	2044	1564	666	64	315	6303	1295	1955	2669	7745	
"Hungary"	2388	1170	3158	1647	9122	7737	9267	10768	14065	12699	8509	7301	
"United States Minor Outlying Islands"	0	0	177	14	15	0	0	0	2675	186	1371	7015	
"Guatemala"	0	0	5	1601	1356	115	0	16232	19243	1036	3190	5885	
"Iceland"	140	5712	10082	940	689	577	1231	383	996	3986	4028	5847	
"Liberia"	14	194	0	5	44	0	145	2117	0	19	13	5701	
"Malta"	1583	429	371	2090	1865	1896	1967	2555	2138	1763	6131	5694	
"Trinidad and Tobago"	11364	16189	27359	3411	19454	32	8680	7845	6880	14013	6060	5663	
"Angola"	0	10	80	5	214	435	17347	1445	144	1901	490	5300	
"Mozambique"	0	0	130	84	3566	6	627	952	844	18604	13971	5270	
"Mexico"	1526	332	270	277	6027	1400	907	3947	2226	3103	4455	5032	
"Czech Republic"	4716	3858	3624	4071	3665	4431	5370	4719	5580	3937	3908	4545	
"Sierra Leone"	1594	19	112	343	262	3119	2180	1193	3273	11431	7023	4373	
"Austria"	4172	4513	3800	7312	6327	12748	6499	5313	16015	6500	8190	4275	
"Oman"	995	506	7620	10048	5848	866	534	389	933	1767	3337	3997	
"Colombia"	781	834	1554	22506	757	1805	1129	1760	3623	2593	2809	3979	
"Bahamas"	22	10	68	5	1318	3	27	0	94	44	238	3556	
"Slovakia"	875	465	672	451	2427	479	730	2219	3485	3511	4998	3420	
"Somalia"	0	0	0	0	0	2	0	0	8	235	1354	3069	
"Paraguay"	2783	3538	586	1796	2939	2452	7350	3218	9746	505	3874	2795	
"Mali"	1921	363	4220	780	660	1482	1853	7120	7161	1885	3199	2737	
"Antigua and Barbuda"	0	2	612	6607	6874	19832	12009	7752	3127	196	5550	2665	
"Kazakhstan"	12	278	0	0	3952	2	9962	4065	3190	0	11952	2652	
"Haiti"	0	0	1	0	1	27	66	200	975	307	6004	2641	
"Central African Republic"	2	1	354	116	111	0	5	5	0	0	13	2553	
"Bahrain"	159	61	229	38	27	11	308	483	4235	4319	3591	2445	
"Taipei, Chinese"	7131	5582	3986	3640	4052	5882	5634	2805	3641	12840	4098	2400	
"Guinea"	2621	2227	301	293	212	1134	2786	3323	5011	10338	1824	2298	
"Sudan"	0	0	0	20	561	109	447	93	218	467	10633	1735	
"Benin"	1134	7848	33869	2995	1142	79	1267	366	580	864	784	1630	
"Panama"	29	188	225	134	295	139	152	674	1511	73	162	1604	
"Slovenia"	158	624	200	143	47	29	62	38	0	0	0	1586	
"Kuwait"	750	230	656	1397	279	277	6122	1115	1413	1515	1791	1295	
"Mauritius"	2643	1571	173	612	28	826	2353	4257	2621	1742	600	1243	
"Congo, Democratic Republic of the"	58	62	22484	248	79	2	19	172	1355	164	976	1192	
"New Zealand"	20076	20674	21152	21396	11946	14499	20577	13881	6624	11213	5308	1131	
"Kenya"	238	145	8594	518	1293	435	400	416	496	514	1235	1099	
"Cambodia"	44	90	3	213	938	910	104	111	692	151	684	965	
"Jordan"	51	419	78	205	378	334	625	880	918	312	519	926	
"Gabon"	364	6707	435	402	298	213	310	3302	2054	316	676	839	
"Croatia"	1	5	35	0	2	661	26	216	52	0	990	795	
"Chile"	522	671	448	605	459	684	575	788	731	342	928	751	
"Korea, Democratic People's Republic of"	1236	452	1003	326	161	150	302	345	176	470	657	689	
"Congo"	3349	380	2076	60	14	176	664	4306	1752	2011	739	676	
"Burkina Faso"	66	191	49	74	204	181	59	551	90	14	418	549	
"Serbia"	711	203	117	2767	513	316	483	47	0	19	413	482	
"Cabo Verde"	352	80	834	33	24	188	264	80	8	11	687	476	
"Afghanistan"	0	77	1620	2058	2206	1616	303	1063	208	217	684	473	
"Bolivia, Plurinational State of"	0	60	0	0	0	0	0	2187	0	0	0	461	
"Mongolia"	0	0	7	3	0	0	4	0	471	0	2	405	
"Costa Rica"	1	1765	534	467	212	427	353	661	418	1014	1732	399	
"Georgia"	0	0	887	739	392	1835	201	1190	2720	4656	355	387	
"Niger"	4	50	97	380	262	156	50	29	145	963	1663	384	
"Uganda"	110	216	250	3	3	180	43	9	34	48	515	326	
"Peru"	1412	1969	2201	2015	1571	2052	1439	519	348	467	544	320	
"Timor-Leste"	602	501	108	61	0	0	0	13	14	29	129	243	
"Philippines"	1182	864	1986	1118	667	1038	489	202	984	559	289	237	
"Malawi"	204	134	100	62	49	63	53	293	82	301	415	228	
"Montenegro"	2	691	50	58	1034	63	71	1605	42	885	58	211	
"Latvia"	223	1324	35	13771	13022	407	171	51	11	347	36	206	
"Tanzania, United Republic of"	340	200	2118	613	1092	185	233	829	1022	566	135	205	
"Sri Lanka"	61	17	23	3	26	23	39	96	76	106	185	182	
"Venezuela, Bolivarian Republic of"	152	0	23420	63427	183	16314	204	2363	4753	24	523	171	
"Ethiopia"	9	2	12	162	109	382	242	17	30	29	107	160	
"Chad"	0	10	0	155	0	2	0	0	0	0	2	150	
"Azerbaijan"	0	0	80	151	160	308	3556	227	66	1378	1251	144	
"Bangladesh"	2738	913	1166	278	115	42	32	146	14	33	168	119	
"Estonia"	361	928	475	157	895	495	34	3463	19170	57	165	113	
"Ecuador"	203	81	120	0	438	16	19	76	503	26	314	107	
"Madagascar"	1	8	58	57	156	29	12	33	12	173	108	105	
"Zambia"	0	196	55	30	18	10	10	108	51	1	32	84	
"Belize"	0	0	0	0	0	0	0	0	11	197	449	68	
"Armenia"	124	109	428	294	155	483	0	2882	2739	45	259	62	
