Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	1601895800	1968259901	2263619100	2334677700	2326590200	2410855500	2315889217	2249113117	2406075845	2609126878	2563536173	2406931650	
"China"	309530233	382964820	417340262	444386004	459107864	486296238	504041702	481369890	525748647	562700012	470950852	456449466	
"Mexico"	178321648	232251415	265113824	279957417	283133714	296855759	299226220	296223311	315605003	347334381	359339933	328684629	
"Canada"	227577354	280426518	317921220	327502570	337126102	354171825	303241052	284181632	306209371	325886992	326157091	277301761	
"Japan"	98401031	123762733	132558803	150447023	142136718	137503838	135106465	135071179	139725457	145685070	146922199	122470639	
"Germany"	72632756	84129523	100675925	111298413	116406340	125532375	127253591	116287929	119968194	128334752	129912049	117360598	
"Viet Nam"	13038309	15888134	18456988	21371334	25904256	32011178	39687860	43747879	48421844	51261469	69159005	83184456	
"Korea, Republic of"	40543872	50607876	58605754	60997693	64611252	71745454	74064956	71888186	73420731	76183626	79939067	78358655	
"Switzerland"	16282606	19504925	24815128	26211250	28771393	31759081	32044482	36932183	36551972	41696360	45470392	75623129	
"Ireland"	28187871	33974844	39506389	33500453	31626777	34097160	39508412	45721195	49089289	57675027	62110667	66322479	
"Taipei, Chinese"	29349133	37159839	42728528	40216023	39296457	42014561	42459113	40594199	43901555	47236391	55926925	62455846	
"India"	22042750	30708298	37455489	41904468	43217508	46985468	46668862	47732038	50518071	56373209	60139434	53580200	
"United Kingdom"	48249947	50674818	52149820	56004751	53728268	55316559	59089264	55275044	54292593	61763752	64329380	51193934	
"Italy"	27276729	29478894	35093651	38185434	39869829	43360963	45497718	46614696	51327917	56215884	58850597	50964335	
"Malaysia"	23888396	26624530	26490292	26653205	27994839	31113046	34720616	37309235	38099154	40127276	41439669	45298020	
"France"	34582355	38982184	40804611	42533570	46540391	47750027	48873887	47770563	50054586	53634266	58648522	43803792	
"Thailand"	19863864	23624244	25751271	26992183	27070801	28026525	29618386	30464033	32214281	33017066	34753869	39232276	
"Singapore"	15856691	17695832	19367940	20462919	18102078	16651709	18526733	18062549	19620200	26791148	26690408	31125739	
"Netherlands"	16573999	20642808	24949969	22897908	19924889	21580663	17657314	16676992	18463011	25286523	30753117	28141457	
"Brazil"	21017805	25009190	32838643	33254643	28658285	31607114	28523717	27047119	30563486	32394688	32164478	24508358	
"Belgium"	13997087	15842319	17804275	17734070	19389119	21383561	20018444	17453222	15422838	17871045	20657743	21289120	
"Indonesia"	13650991	17394393	19991263	18845046	19769655	20314195	20658999	20126720	21147819	21817401	21144147	21274538	
"Russian Federation"	18993424	26538543	35557790	30232471	27851650	24465063	17169926	15292785	17776033	21570691	23174692	17771592	
"Spain"	8190323	8905307	11461146	12199507	12090927	14901316	14682879	13964762	16264241	17805935	17450074	15945146	
"Israel"	18961438	21231630	23269737	22340593	23071898	23421561	24924426	22631685	22368848	22184745	19916473	15568969	
"Australia"	8220815	8795064	10364476	9673226	9203540	10765046	11213392	9785914	10299601	10326781	11084638	14676613	
"Sweden"	8405691	10791023	11810806	10508128	9427467	10545070	10164252	9957664	11127201	12017855	12660855	12723649	
"Austria"	6162950	6917707	9524377	9560139	9828303	10889475	11571444	11121006	12001329	13898911	13487262	11922826	
"Denmark"	5699234	6145915	6908881	6906846	6607380	7631110	7885697	8075676	7847499	9022233	11169822	11819481	
"Turkey"	3856854	4424450	5464067	6614586	7007254	7763895	8360187	8493605	9876257	10871856	11252483	11738853	
"South Africa"	5967518	8359458	9623790	8829785	8585148	8466310	7509148	6968572	7953087	8669284	7980866	11527704	
"Philippines"	7060925	8300339	9481141	9910143	9604547	10495177	10612702	10373590	11958154	12932237	13074410	11496628	
"Colombia"	11875343	16229639	23720047	25213482	22157560	18858161	14698460	14435556	14126807	14277831	14719631	11332632	
"Chile"	6620214	7688180	9735525	10083153	11190496	10265746	9583609	9545744	11295743	12197873	11148166	10913783	
"Saudi Arabia"	23243140	32643466	48760013	57327162	53100430	48352776	23359963	18009132	19612956	24619663	13824883	9519279	
"Poland"	2143030	3105460	4530245	4782449	5060926	5340571	5821464	6142636	7338712	8264085	8637128	8869328	
"Hong Kong, China"	3682878	4431657	4524491	5569722	5802891	5995091	6942297	7550930	7530279	6421432	4825957	7974297	
"Cambodia"	2004671	2402004	2807102	2799684	2870575	2951402	3146511	2916164	3172198	3951586	5551874	6867585	
"Ecuador"	5610194	7834763	10033290	9895686	11971956	11296254	7921862	6493997	6758667	7080567	7352596	6384038	
"Bangladesh"	3886495	4541169	5083031	5107248	5583498	5475305	6225086	6119726	5889645	6328156	6904284	6303847	
"Peru"	4412194	5507906	6905854	6672068	8405336	6413467	5385311	6551444	7617601	8269790	6508600	5928744	
"Czech Republic"	1978431	2533173	3453621	4046943	4039630	4479008	4637604	4544950	4735826	5157473	5694202	5703258	
"Costa Rica"	5803271	8933644	10367071	12306743	12177013	9765911	4717608	4574903	4828224	5158155	5420682	5623008	
"Hungary"	2267476	2545327	3013471	3268284	3842813	5369828	5807390	5435305	5169516	5170987	5398693	5389658	
"Dominican Republic"	3420570	3771603	4312688	4485743	4382080	4637891	4783548	4788623	4867716	5443043	5694443	5349498	
"Slovakia"	641244	1097167	1437884	1812073	1797411	2140321	2338010	2559299	3085135	4230408	5201854	5103340	
"Finland"	4134392	4046474	4611767	5294379	4853979	5226663	4679743	4747745	6062700	7356415	6590083	5092361	
"Argentina"	4133442	4007943	4735427	4575543	4870332	4453638	4187223	4911127	5001429	5032734	5134105	4411122	
"New Zealand"	2721200	2936739	3352481	3620245	3666953	4158631	4483889	4219933	4337001	4366399	4280222	4379044	
"Guatemala"	3379081	3747797	4977593	4782540	4474578	4536272	4437077	4278975	4396576	4564829	4307073	4172229	
"Norway"	5889633	7195094	8551727	6781436	5720384	5571377	5000342	4655352	5316948	7093279	6825824	4144922	
"Pakistan"	3361197	3727939	4025928	3828393	3887604	3869193	3909901	3617847	3762096	3896455	4115703	4114379	
"Honduras"	3489642	4103873	4692888	4853609	4757715	4857914	5010823	4869034	4813140	4926742	5030340	4072485	
"Portugal"	1629321	2225065	2671206	2706727	2936552	3323709	3397661	3333859	3654466	4030072	4040111	3940000	
"Nicaragua"	1672654	2095891	2682665	2834219	2882231	3182650	3289427	3378833	3342263	3675968	3965153	3656860	
"Iraq"	9719249	12624748	17368920	19638420	13546578	14158798	4568489	6319321	11159119	12125420	7240544	3266564	
"United Arab Emirates"	1565393	1196291	2508100	2326200	2382005	2939276	2600835	3556619	4474142	5224351	4571422	3217070	
"Trinidad and Tobago"	5623791	7012450	8506041	8585318	6840698	6291690	4590479	3164428	3530561	3878252	3627809	2667553	
"Sri Lanka"	1667518	1832262	2182609	2366089	2569638	2800451	3030696	2905625	2978536	2793338	2862714	2552485	
"Egypt"	2169428	2355253	2161942	3108390	1696507	1482053	1479985	1561842	1719011	2581742	3299148	2303853	
"Romania"	772235	1056588	1498106	1690345	1784440	2189345	2243641	2037828	2274651	2696814	2456396	2212044	
"El Salvador"	1881101	2273734	2559804	2669490	2515411	2471843	2609685	2571240	2534648	2582042	2552680	1991259	
"Jordan"	954306	1007774	1090566	1188002	1227503	1432621	1525953	1592461	1728207	1856716	2226706	1920384	
"Nigeria"	19737386	31357508	34465732	19405879	11984702	3935445	2003790	4372278	7318430	5766173	4760328	1555194	
"Greece"	887634	844931	911190	1049905	1017837	1107544	1446297	1319753	1355388	1723037	1625310	1411343	
"Lithuania"	619557	665087	1093273	1227087	1609638	1137632	1114937	1243337	1563964	1318208	1150265	1389374	
"Ukraine"	513843	1130036	1528025	1408044	1084736	973143	897201	609507	1074749	1424847	1358028	1376117	
"Slovenia"	400534	481734	563605	580395	593501	721570	701993	774362	784151	876730	992851	1221055	
"Qatar"	535934	489969	1239682	1035736	1336890	1779410	1385312	1188794	1236799	1619282	1748658	1218108	
"Estonia"	168971	721582	996136	521702	435791	574883	517609	1016676	623244	980377	1031113	1102231	
"Morocco"	519974	752280	1065606	994586	1032860	1054926	1065205	1059611	1291486	1615895	1650299	1095837	
"Myanmar"	91	0	0	38	31234	95903	150126	253288	379430	511494	852992	1073542	
"Kazakhstan"	1598221	1934960	1714209	1608874	1459593	1459478	850869	766837	829127	1439209	1270124	938682	
"Côte d'Ivoire"	778650	1215111	1309329	1138811	1049143	1235662	1061614	1200548	1256357	1293080	958169	914243	
"Oman"	966515	810175	2288065	1421884	1083985	1040158	973146	1193363	1126823	1342370	1220677	886675	
"Bulgaria"	240871	273615	433613	532407	537674	632197	626415	628810	685296	1018182	943625	884080	
"Haiti"	565999	564957	760196	793040	866489	927370	971974	917726	939115	1012270	1071775	862131	
"Guyana"	178927	307408	432088	534680	478053	518577	439704	439771	321730	261260	140204	780925	
"Ghana"	144379	282949	801198	305268	381268	285497	325957	335385	781165	613076	986493	759937	
"Kuwait"	3969194	5586994	8010061	13346041	12941385	11728607	4882946	3482845	3023077	2126163	1446460	741061	
"Panama"	321991	402620	409990	563310	467703	447204	425493	426610	458261	436753	455536	726745	
"Bahrain"	502727	445977	547474	733349	666202	1004835	950597	804631	1032996	1025117	1095730	668796	
"Madagascar"	266513	113209	90801	114379	183715	219674	324927	453969	753423	906349	859511	625997	
"Croatia"	261340	353279	458431	465336	439897	479011	591367	524797	448573	480162	563918	615954	
"Tunisia"	338169	417803	365341	759292	771705	537724	563458	403649	476534	668281	484598	591428	
"Uruguay"	254365	248574	304162	372385	442034	477025	629062	557758	607826	532298	541975	586084	
"Kenya"	292757	325074	397009	404502	466430	609179	594305	570507	587914	660024	685469	584434	
"Latvia"	151863	205856	374815	256459	285779	286506	317789	350308	468008	744163	837327	546746	
"Ethiopia"	119458	134563	149423	189520	200872	214044	319046	247102	302822	458394	587370	539666	
"Luxembourg"	456084	473419	513178	573601	664709	785118	662801	520318	515846	573154	660484	507124	
"Algeria"	11150476	14943690	14912503	10201300	4960483	4794597	3537242	3418707	3991780	4781633	2592963	502717	
"Angola"	9703061	12273945	13833012	10030265	8922895	5837752	2917054	2976766	2686494	2768831	984169	497346	
"Cameroon"	267655	310206	343085	320198	381702	199552	142944	161069	125893	229189	305710	490351	
"Serbia"	64573	168205	138210	150466	530255	285282	282419	322328	307482	340677	356068	469046	
"Iceland"	189784	211317	226695	299931	311638	320055	338194	395910	439464	460043	514804	452870	
"Jamaica"	500947	364478	620633	555500	446242	312520	328729	324093	349970	392850	406234	396238	
"Bolivia, Plurinational State of"	522530	694167	915072	1693445	1262702	1943178	1014384	983770	573815	494569	462083	389159	
"Belarus"	596394	181893	374264	159262	111634	140611	166335	143509	294891	419176	401051	354831	
"Lesotho"	315889	311796	394700	321134	361437	372885	344159	319725	316745	430159	332198	312577	
"Bahamas"	844826	842052	787723	587792	619099	555226	470619	307395	470879	497828	425676	287806	
"Fiji"	167507	208294	160167	221851	209017	219111	244482	246829	273652	274989	298798	267627	
"Mauritius"	177418	206255	261909	269356	347871	411334	405486	346623	295684	329888	356692	251316	
"Libya, State of"	1981282	2186740	666411	2554198	2622122	231535	167149	245277	1435039	1447572	1572465	224895	
"Lebanon"	79335	87771	82918	84614	96323	75856	96404	110963	131586	111985	153761	198332	
"Suriname"	148284	208399	346463	319240	330593	477625	157438	71203	72502	91965	88170	183731	
"Venezuela, Bolivarian Republic of"	28780267	33313828	43865921	39341379	32477094	30863481	16223428	11444240	12750583	13538495	2016256	179175	
"Botswana"	132738	170456	294172	221682	278323	323786	220334	444441	784489	468874	280393	178253	
"Malta"	223326	269556	253440	263136	216839	177279	245471	1298787	165858	189512	174647	176712	
"Macedonia, North"	46334	38850	54898	89960	64125	171145	207685	234874	260534	360964	290366	164241	
"Paraguay"	63981	68839	118589	204610	291129	209657	174164	159049	133836	138013	173009	160603	
"Georgia"	71617	205912	185190	238337	182790	407573	188466	98207	136508	198596	158551	157287	
"Faroe Islands"	85052	92898	135553	99055	168540	191169	136993	173855	153222	139940	179863	151205	
"Equatorial Guinea"	2587064	2289205	1223538	1746595	928693	268274	174790	210133	378145	606230	349213	145357	
"Congo"	3188684	3391746	2458667	1514767	1192601	433438	313692	137544	134160	445426	583377	139976	
"Tanzania, United Republic of"	51179	44055	60724	117569	72124	88639	108350	151572	127202	99320	133460	123853	
"Mozambique"	39691	66285	36312	39359	77437	101018	97771	108933	148657	115111	139794	111754	
"Lao People's Democratic Republic"	45805	61866	60370	25733	32427	34615	47826	57483	98792	146482	152870	106820	
"Senegal"	7508	5487	7228	17624	17934	26458	74961	56375	75452	131993	136436	104769	
"Macao, China"	246097	147329	117637	99701	97317	76569	124124	121676	98111	104229	104546	103774	
"Bosnia and Herzegovina"	26077	26865	51574	53680	59826	86159	80998	78354	88784	106464	108255	101925	
"Nepal"	59945	66162	83865	89553	83430	92281	92423	94424	97686	105146	97578	92591	
"Namibia"	329286	195624	439766	233028	263210	256971	85802	92287	120232	119941	144939	91343	
"Brunei Darussalam"	42671	13271	25882	89103	17873	32883	20096	13991	23409	102042	43922	90302	
"Papua New Guinea"	107379	101338	145361	121152	132099	103153	93852	93909	126173	92814	72615	90009	
"Uganda"	32724	60459	48450	36684	49972	48084	66577	53966	81603	71382	83425	86776	
"Sudan"	0	0	0	6991	11064	12914	9765	15667	14226	16599	93121	85887	
"Gabon"	1283322	2276497	4659045	1934584	1144324	832821	353020	114328	208990	298816	128618	83635	
"Uzbekistan"	89854	68779	51483	26296	26913	15085	10739	31078	14853	19015	34887	81510	
"Niger"	107563	27026	293292	83296	2405	4673	4244	6324	7336	29584	47228	79546	
"Curaçao"	0	0	560796	858149	407256	374720	391949	358177	224983	203705	202790	75970	
"Armenia"	79103	78832	96718	93100	106559	101212	66017	44859	70903	56132	57335	71031	
"Cyprus"	53547	11713	21995	30498	44908	65590	33488	54862	49140	70012	74656	60770	
"Moldova, Republic of"	8838	13313	17353	27187	37488	37475	46746	40026	42681	58696	67648	60033	
