Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
5153.0	5153.0	9208.0	4200.0	2405.0	1457.0	6990.0	2448.0	4738.0	5199.0	4663.0	1731.0	5153.0	2940.0	Argentina	Albania	3391.0	3226.0	1152.0	-2369.0	4672.0	4672.0	4923.0	4923.0
1479902.0	1479902.0	709994.0	1012044.0	1656129.0	1465526.0	1563987.0	1601191.0	1147985.0	1162041.0	1471423.0	1708720.0	1479902.0	951626.0	Argentina	Algeria	1637676.0	1683668.0	2090161.0	2742230.0	1467093.0	1467093.0	1477784.0	1477784.0
29294.0	29294.0	163737.0	145077.0	221636.0	200151.0	128725.0	126933.0	59151.0	36827.0	37202.0	30267.0	29294.0	5655.0	Argentina	Angola	-6326.0	-25244.0	88385.0	174585.0	31916.0	31916.0	29327.0	29327.0
121.0	121.0	408.0	450.0	599.0	588.0	518.0	549.0	434.0	271.0	243.0	204.0	121.0	224.0	Argentina	Antigua and Barbuda	169.0	131.0	116.0	148.0	163.0	163.0	122.0	122.0
13274880.0	13274880.0	920693.0	1264426.0	1834964.0	2122119.0	2169320.0	1877791.0	986638.0	687730.0	861872.0	13540999.0	13274880.0	19296159.0	Argentina	Area Nes	9262302.0	10206907.0	24196725.0	36514744.0	11652003.0	11652003.0	13263186.0	13263186.0
2141.0	2141.0	3788.0	3577.0	3880.0	3629.0	2900.0	1404.0	1374.0	1627.0	3097.0	1439.0	2141.0	355.0	Argentina	Aruba	1278.0	1054.0	3147.0	4367.0	1962.0	1962.0	2123.0	2123.0
361283.0	361283.0	242347.0	286693.0	588849.0	585001.0	736647.0	708863.0	609968.0	515388.0	623292.0	402722.0	361283.0	126818.0	Argentina	Australia	563526.0	571673.0	261229.0	176518.0	393661.0	393661.0	364843.0	364843.0
1347.0	1347.0	12507.0	14034.0	15165.0	14288.0	14427.0	14239.0	19988.0	12567.0	12939.0	5454.0	1347.0	161.0	Argentina	Austria	7286.0	6425.0	-8100.0	-19548.0	3885.0	3885.0	1392.0	1392.0
329.0	329.0	3385.0	5626.0	10833.0	6847.0	5384.0	6019.0	3709.0	1560.0	1742.0	442.0	329.0	142.0	Argentina	Azerbaijan	50.0	-636.0	2672.0	6314.0	651.0	651.0	341.0	341.0
507.0	507.0	12174.0	17409.0	1710.0	31802.0	16158.0	180223.0	1358.0	41503.0	12233.0	562.0	507.0	109.0	Argentina	Bahamas	23810.0	22996.0	-50807.0	-94171.0	3304.0	3304.0	1384.0	1384.0
2835.0	2835.0	3165.0	3349.0	15818.0	19705.0	4861.0	4183.0	2794.0	3953.0	5320.0	4826.0	2835.0	101.0	Argentina	Bahrain	3120.0	2568.0	11869.0	22089.0	3172.0	3172.0	2842.0	2842.0
595520.0	595520.0	214004.0	214861.0	442617.0	358215.0	309841.0	358984.0	277304.0	489732.0	583529.0	519706.0	595520.0	330306.0	Argentina	Bangladesh	602948.0	637313.0	734051.0	875843.0	557145.0	557145.0	589426.0	589426.0
271.0	271.0	2039.0	2534.0	3513.0	2177.0	1271.0	1504.0	855.0	763.0	672.0	278.0	271.0	75.0	Argentina	Barbados	-173.0	-442.0	993.0	1957.0	344.0	344.0	272.0	272.0
17462.0	17462.0	4359.0	5782.0	6642.0	7142.0	9490.0	9322.0	5387.0	20022.0	74964.0	47987.0	17462.0	1335.0	Argentina	Belarus	44103.0	48294.0	15455.0	-11693.0	20898.0	20898.0	17440.0	17440.0
203288.0	203288.0	456787.0	348822.0	465102.0	448537.0	300361.0	300299.0	328209.0	378985.0	401378.0	220749.0	203288.0	81450.0	Argentina	Belgium	236653.0	217724.0	111444.0	-14935.0	225657.0	225657.0	204065.0	204065.0
544.0	544.0	2842.0	2052.0	5158.0	13922.0	3344.0	8609.0	5172.0	2880.0	2283.0	825.0	544.0	86.0	Argentina	Benin	1860.0	1449.0	609.0	2013.0	1046.0	1046.0	623.0	623.0
454989.0	454989.0	580918.0	608412.0	757409.0	852160.0	792976.0	792185.0	619670.0	559655.0	608994.0	451616.0	454989.0	276972.0	Argentina	Bolivia, Plurinational State of	509341.0	486974.0	453298.0	504616.0	472496.0	472496.0	453356.0	453356.0
688.0	688.0	7885.0	5573.0	10617.0	4940.0	4987.0	3844.0	4038.0	3691.0	2921.0	1186.0	688.0	314.0	Argentina	Bosnia and Herzegovina	212.0	-516.0	194.0	-313.0	1178.0	1178.0	699.0	699.0
7606172.0	7606172.0	11379426.0	14432985.0	17317105.0	16456672.0	15948973.0	13882695.0	10081115.0	9027619.0	9298290.0	8169488.0	7606172.0	5084253.0	Argentina	Brazil	7307176.0	6500788.0	10813664.0	15515407.0	7941040.0	7941040.0	7617793.0	7617793.0
20251.0	20251.0	11088.0	77093.0	108937.0	100833.0	156874.0	104718.0	90685.0	38308.0	116546.0	14505.0	20251.0	12504.0	Argentina	Bulgaria	56006.0	52616.0	16004.0	22820.0	25384.0	25384.0	20698.0	20698.0
13945.0	13945.0	6569.0	11136.0	14628.0	14077.0	16306.0	14711.0	9920.0	17126.0	14824.0	11265.0	13945.0	4187.0	Argentina	Cambodia	15193.0	15536.0	15416.0	18367.0	13531.0	13531.0	13912.0	13912.0
39882.0	39882.0	24456.0	18488.0	43034.0	37601.0	47998.0	35580.0	33204.0	25146.0	40367.0	34923.0	39882.0	27608.0	Argentina	Cameroon	39798.0	40663.0	51385.0	67772.0	37793.0	37793.0	39587.0	39587.0
546600.0	546600.0	466850.0	1401223.0	2383291.0	2213449.0	1702908.0	1655816.0	1295825.0	1147784.0	1322670.0	1035705.0	546600.0	129681.0	Argentina	Canada	1009269.0	947600.0	1104838.0	1707236.0	701841.0	701841.0	548195.0	548195.0
2670597.0	2670597.0	4386659.0	4493083.0	4772318.0	5051834.0	3823118.0	2792208.0	2398278.0	2297397.0	2597656.0	2620758.0	2670597.0	2226775.0	Argentina	Chile	1835229.0	1566799.0	4162432.0	6022829.0	2620917.0	2620917.0	2663342.0	2663342.0
6325086.0	6325086.0	3666461.0	5798858.0	6033117.0	5068296.0	5511588.0	4459978.0	5174432.0	4425230.0	4319031.0	3847265.0	6325086.0	4594625.0	Argentina	China	4896551.0	4884926.0	8044002.0	11183096.0	5791343.0	5791343.0	6253886.0	6253886.0
642365.0	642365.0	874364.0	1302601.0	1806029.0	2079591.0	1530541.0	860275.0	393355.0	509773.0	557041.0	401840.0	642365.0	263254.0	Argentina	Colombia	298698.0	182454.0	1625605.0	3000093.0	584855.0	584855.0	631983.0	631983.0
16272.0	16272.0	74205.0	28715.0	47869.0	48455.0	41112.0	42042.0	43085.0	23832.0	30899.0	11361.0	16272.0	9867.0	Argentina	Congo	12135.0	7978.0	-5983.0	-26833.0	17909.0	17909.0	15741.0	15741.0
33816.0	33816.0	159580.0	162007.0	139599.0	100445.0	106600.0	51259.0	47454.0	48294.0	112519.0	26747.0	33816.0	15480.0	Argentina	Costa Rica	12690.0	-169.0	35453.0	30364.0	34748.0	34748.0	32978.0	32978.0
